record_type	relative_path	sha256	source_repo	source_repo_head	exists	usable_for_primary_analysis	task011a_qc_status	note
structure	for_windows_download/current_candidate_structures/07_C04_LEAD_9A5_2C_final30_complex.pdb	9430890d21d58cf144025e459f843452c2d4581d824c55c187f1671e938b8b59	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	yes	carried_forward	
structure	for_windows_download/current_candidate_structures/08_C01_COMPARATOR_9A5_2C_final30_complex.pdb	e476c3958d18c47a4b9a116f3e073f681f1ed7573045e0f6c00a451526a86338	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	yes	carried_forward	
structure	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative.pdb	d6daf2cd8aa7db784561e85c5169e006a4c04b98ff68aebcdc63c6e34cfdc292	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	yes	carried_forward	
structure	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_02_md_representative.pdb	be28894e60a05269dbf6ad02c070e56fad7f51fc8b1e8cc20b98406821fb5a78	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	yes	carried_forward	
structure	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep1.pdb	2d4aa74795dd8fe100b63a25dc0065797cfad63972ced0e500b22a789fbdaaf8	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	yes	carried_forward	
structure	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep2.pdb	220bdfa9b1c09f29f933ae6e76e3f693a52185cb7acdfaa5926c15c56d8debc8	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	yes	carried_forward	
structure	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep3.pdb	29e334a2081e858d4a1911f6f6ecac0e46e210946f8800f2634326944ebda336	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	yes	carried_forward	
structure	HRV_A89_2C_HEXAMER/results_summary/SHOWCASE_1x_9A5_D_chain_after_npt_100ps_pbc_fixed.pdb	3d3f3f4956152103153d5c8a5135701ae3f7f3638eed42a1d528ef600b96bbc7	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	yes	carried_forward	
structure	HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep1_endpoint.pdb	3c0083aa7091b4de51319e81d765fa159711a25ed7f5088f74c253ae38edb884	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	no	duplicate_endpoint_export_do_not_count_as_independent	replaced_by_reexported_final_frame_from_unique_XTC
structure	HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep2_endpoint.pdb	3c0083aa7091b4de51319e81d765fa159711a25ed7f5088f74c253ae38edb884	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	no	duplicate_endpoint_export_do_not_count_as_independent	replaced_by_reexported_final_frame_from_unique_XTC
structure	HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep3_endpoint.pdb	3c0083aa7091b4de51319e81d765fa159711a25ed7f5088f74c253ae38edb884	HRV_Oligomers	3385e069fa8469253d8776b3adb3361759094faa	True	no	duplicate_endpoint_export_do_not_count_as_independent	replaced_by_reexported_final_frame_from_unique_XTC
