source_repository	source_commit	absolute_path	relative_path	filename	sha256	structure_class	2c_state	2c_residue_range	n_2c_chains	antibody_present	antibody_type	VH_chain	VL_chain	refinement_state	registry_status	usable_for_primary_analysis	reason	task011a_qc_status	replacement_or_qc_note	chain_residue_summary	n_2c_like_chains	atom_count	vh_chain_guess	vl_chain_guess	finite_coordinates
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/for_windows_download/current_candidate_structures/07_C04_LEAD_9A5_2C_final30_complex.pdb	for_windows_download/current_candidate_structures/07_C04_LEAD_9A5_2C_final30_complex.pdb	07_C04_LEAD_9A5_2C_final30_complex.pdb	9430890d21d58cf144025e459f843452c2d4581d824c55c187f1671e938b8b59	1x9A5_core_complex	2C_core_112_258	A:1-118(118);B:1-112(112);C:112-258(147)	1	yes	9A5_Fv	A	B	historical_30ns_core_complex	REFERENCE	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/for_windows_download/current_candidate_structures/08_C01_COMPARATOR_9A5_2C_final30_complex.pdb	for_windows_download/current_candidate_structures/08_C01_COMPARATOR_9A5_2C_final30_complex.pdb	08_C01_COMPARATOR_9A5_2C_final30_complex.pdb	e476c3958d18c47a4b9a116f3e073f681f1ed7573045e0f6c00a451526a86338	1x9A5_core_complex	2C_core_112_258	A:1-118(118);B:1-112(112);C:112-258(147)	1	yes	9A5_Fv	A	B	historical_30ns_core_complex	REFERENCE	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative.pdb	selected_hexamer_01_md_representative.pdb	d6daf2cd8aa7db784561e85c5169e006a4c04b98ff68aebcdc63c6e34cfdc292	free_hexamer	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321)	6	no	none			selected_or_repeat_endpoint	CURRENT_OR_REFERENCE	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_02_md_representative.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_02_md_representative.pdb	selected_hexamer_02_md_representative.pdb	be28894e60a05269dbf6ad02c070e56fad7f51fc8b1e8cc20b98406821fb5a78	free_hexamer	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321)	6	no	none			selected_or_repeat_endpoint	CURRENT_OR_REFERENCE	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep1.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep1.pdb	selected_hexamer_01_md_representative_5ns_rep1.pdb	2d4aa74795dd8fe100b63a25dc0065797cfad63972ced0e500b22a789fbdaaf8	free_hexamer	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321)	6	no	none			selected_or_repeat_endpoint	CURRENT_OR_REFERENCE	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep2.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep2.pdb	selected_hexamer_01_md_representative_5ns_rep2.pdb	220bdfa9b1c09f29f933ae6e76e3f693a52185cb7acdfaa5926c15c56d8debc8	free_hexamer	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321)	6	no	none			selected_or_repeat_endpoint	CURRENT_OR_REFERENCE	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep3.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_hexamer_01_md_representative_5ns_rep3.pdb	selected_hexamer_01_md_representative_5ns_rep3.pdb	29e334a2081e858d4a1911f6f6ecac0e46e210946f8800f2634326944ebda336	free_hexamer	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321)	6	no	none			selected_or_repeat_endpoint	CURRENT_OR_REFERENCE	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/SHOWCASE_1x_9A5_D_chain_after_npt_100ps_pbc_fixed.pdb	HRV_A89_2C_HEXAMER/results_summary/SHOWCASE_1x_9A5_D_chain_after_npt_100ps_pbc_fixed.pdb	SHOWCASE_1x_9A5_D_chain_after_npt_100ps_pbc_fixed.pdb	3d3f3f4956152103153d5c8a5135701ae3f7f3638eed42a1d528ef600b96bbc7	1x9A5_hexamer_complex	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321);H:1-118(118);L:1-112(112)	6	yes	9A5_Fv	H	L	pbc_fixed_or_endpoint_refined	CURRENT	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep1_endpoint.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep1_endpoint.pdb	selected_1x_9A5_weakposres_1ns_rep1_endpoint.pdb	3c0083aa7091b4de51319e81d765fa159711a25ed7f5088f74c253ae38edb884	1x9A5_hexamer_complex	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321);H:1-118(118);L:1-112(112)	6	yes	9A5_Fv	H	L	pbc_fixed_or_endpoint_refined	CURRENT	no	selected_for_task011_primary_or_context_analysis	duplicate_endpoint_export_do_not_count_as_independent	replaced_by_reexported_final_frame_from_unique_XTC						
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep2_endpoint.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep2_endpoint.pdb	selected_1x_9A5_weakposres_1ns_rep2_endpoint.pdb	3c0083aa7091b4de51319e81d765fa159711a25ed7f5088f74c253ae38edb884	1x9A5_hexamer_complex	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321);H:1-118(118);L:1-112(112)	6	yes	9A5_Fv	H	L	pbc_fixed_or_endpoint_refined	CURRENT	no	selected_for_task011_primary_or_context_analysis	duplicate_endpoint_export_do_not_count_as_independent	replaced_by_reexported_final_frame_from_unique_XTC						
