taxonomy_id	scientific_name	rank	type_label
2777147	rhinovirus A1B	no rank	A1B
2777146	rhinovirus A108	no rank	A108
2777145	rhinovirus A107	no rank	A107
2777144	rhinovirus A106	no rank	A106
2777143	rhinovirus A105	no rank	A105
2777141	rhinovirus A102	no rank	A102
1690263	Human rhinovirus E5062	no rank	ambiguous
1690262	Human rhinovirus E5061	no rank	ambiguous
1219381	rhinovirus A101	no rank	A101
1033850	rhinovirus A103	no rank	A103
650130	Human rhinovirus 89 ATCC VR-1199	no rank	A89
573824	rhinovirus A1	no rank	A1
185946	rhinovirus A100	no rank	A100
185944	rhinovirus A98	no rank	A98
185943	rhinovirus A96	no rank	A96
185942	Human rhinovirus A95	no rank	A95
185941	rhinovirus A94	no rank	A94
185940	rhinovirus A90	no rank	A90
185939	rhinovirus A88	no rank	A88
185937	rhinovirus A85	no rank	A85
185935	Rhinovirus A81	no rank	A81
185934	rhinovirus A80	no rank	A80
185932	rhinovirus A77	no rank	A77
185931	rhinovirus A76	no rank	A76
185930	rhinovirus A75	no rank	A75
185929	rhinovirus A74	no rank	A74
185928	rhinovirus A73	no rank	A73
185927	rhinovirus A71	no rank	A71
185925	rhinovirus A68	no rank	A68
185924	rhinovirus A67	no rank	A67
185923	rhinovirus A66	no rank	A66
185922	rhinovirus A64	no rank	A64
185921	rhinovirus A63	no rank	A63
185920	rhinovirus A61	no rank	A61
185919	rhinovirus A60	no rank	A60
185918	rhinovirus A59	no rank	A59
185917	rhinovirus A57	no rank	A57
185916	rhinovirus A56	no rank	A56
185915	rhinovirus A55	no rank	A55
185914	rhinovirus A54	no rank	A54
185913	rhinovirus A53	no rank	A53
185912	rhinovirus A51	no rank	A51
185911	rhinovirus A47	no rank	A47
185910	rhinovirus A44	no rank	A44
185909	rhinovirus A41	no rank	A41
185908	rhinovirus A40	no rank	A40
185907	rhinovirus A39	no rank	A39
185906	rhinovirus A38	no rank	A38
185905	rhinovirus A34	no rank	A34
185904	rhinovirus A33	no rank	A33
185903	rhinovirus A32	no rank	A32
185902	rhinovirus A31	no rank	A31
185901	rhinovirus A30	no rank	A30
185898	rhinovirus A25	no rank	A25
185897	rhinovirus A24	no rank	A24
185896	rhinovirus A22	no rank	A22
185895	rhinovirus A19	no rank	A19
185894	rhinovirus A15	no rank	A15
185893	rhinovirus A13	no rank	A13
185892	rhinovirus A10	no rank	A10
185891	rhinovirus A9	no rank	A9
185890	rhinovirus A8	no rank	A8
167324	rhinovirus A46	no rank	A46
167322	rhinovirus A82	no rank	A82
167321	rhinovirus A43	no rank	A43
147711	Rhinovirus A	no rank	ambiguous
147685	rhinovirus A78	no rank	A78
147684	rhinovirus A12	no rank	A12
147676	rhinovirus A45	no rank	A45
147675	rhinovirus A20	no rank	A20
147674	rhinovirus A18	no rank	A18
147673	rhinovirus A36	no rank	A36
147672	rhinovirus A28	no rank	A28
44136	rhinovirus A7	no rank	A7
44135	rhinovirus A65	no rank	A65
44134	rhinovirus A62	no rank	A62
44133	rhinovirus A58	no rank	A58
44132	rhinovirus A50	no rank	A50
44131	rhinovirus A49	no rank	A49
44129	rhinovirus A29	no rank	A29
44128	rhinovirus A21	no rank	A21
39767	rhinovirus A11	no rank	A11
31708	rhinovirus A16	no rank	A16
12135	rhinovirus A23	no rank	A23
12134	Human rhinovirus 1A	no rank	A1A
12132	rhinovirus A89	no rank	A89
12130	rhinovirus A2	no rank	A2
