Isolate ID	Species Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Genome coverage	Genome	Host source	Accessions Link	ictv_type_label	vmr_primary_accession
VMR1002182	15277	1	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	E	rhinovirus A1	RV-A1	VR-1559	FJ445111	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A1	FJ445111
VMR1011675	15277	6	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A10	RV-A10	204-CV14	DQ473498	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A10	DQ473498
VMR1011740	15277	71	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A100	RV-A100	ATCC VR-1300	FJ445175	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A100	FJ445175
VMR1011741	15277	72	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A101	RV-A101	hrv-A101	GQ415051	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A101	GQ415051
VMR1011742	15277	73	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A102	RV-A102	AMS323	EF155421	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A102	EF155421
VMR1011743	15277	74	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A103	RV-A103	WA327E/09	JF965515	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A103	JF965515
VMR1011744	15277	75	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A104	RV-A104	p1025_sR2625_2009	JN562727	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A104	JN562727
VMR1011745	15277	76	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A105	RV-A105	p1064_sR985_2009	JN614995	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A105	JN614995
VMR1011746	15277	77	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A106	RV-A106	p1044_sR114_2008	JQ245971	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A106	JQ245971
VMR1011747	15277	78	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A107	RV-A107	S07259	KC859319	Partial genome (non-compliant)	ssRNA(+)	vertebrates	NCBI Nucleotide	A107	KC859319
VMR1011748	15277	79	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A108	RV-A108	S07696	KC859318	Partial genome (non-compliant)	ssRNA(+)	vertebrates	NCBI Nucleotide	A108	KC859318
VMR1011676	15277	7	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A11	RV-A11	1-CV15	EF173414	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A11	EF173414
VMR1011677	15277	8	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A12	RV-A12	181-CV16	EF173415	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A12	EF173415
VMR1011678	15277	9	Riboviria		Orthornavirae		Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Ensavirinae	Enterovirus		Enterovirus alpharhino	ICTV19991256	A	rhinovirus A13	RV-A13	353 (South Carolina/59)	FJ445116	Complete genome	ssRNA(+)	vertebrates	NCBI Nucleotide	A13	FJ445116
