taxonomy_id	scientific_name	rank	type_label
3115367	rhinovirus B107	no rank	B107
2777140	rhinovirus B104	no rank	B104
2777139	rhinovirus B103	no rank	B103
2777138	rhinovirus B102	no rank	B102
2777137	rhinovirus B101	no rank	B101
2777136	rhinovirus B100	no rank	B100
185945	rhinovirus B99	no rank	B99
185938	rhinovirus B86	no rank	B86
185936	rhinovirus B83	no rank	B83
185933	rhinovirus B79	no rank	B79
185926	rhinovirus B70	no rank	B70
185900	rhinovirus B27	no rank	B27
185899	rhinovirus B26	no rank	B26
185889	rhinovirus B4	no rank	B4
167330	rhinovirus B97	no rank	B97
167329	rhinovirus B35	no rank	B35
167328	rhinovirus B84	no rank	B84
167327	rhinovirus B93	no rank	B93
167326	rhinovirus B92	no rank	B92
167325	rhinovirus B91	no rank	B91
150904	rhinovirus B17	no rank	B17
147727	Human rhinovirus 8317 Finland Aug1996	no rank	B8317
147726	Human rhinovirus 7425 Finland Dec1995	no rank	B7425
147725	Human rhinovirus 8001 Finland Nov1995	no rank	B8001
147724	Human rhinovirus 9166 Finland Sep1995	no rank	B9166
147723	Human rhinovirus 6253 Finland Sep1994	no rank	B6253
147722	Human rhinovirus 9864 Finland Sep1996	no rank	B9864
147721	Human rhinovirus 7851 Finland Sep1996	no rank	B7851
147720	Human rhinovirus 5928 Finland May1995	no rank	B5928
147714	rhinovirus B5	no rank	B5
147712	Rhinovirus B	no rank	ambiguous
147683	rhinovirus B42	no rank	B42
147681	rhinovirus B6	no rank	B6
147680	rhinovirus B37	no rank	B37
147679	rhinovirus B48	no rank	B48
147678	Rhinovirus B69	no rank	B69
147677	rhinovirus B52	no rank	B52
44137	rhinovirus B72	no rank	B72
44130	rhinovirus B3	no rank	B3
12131	rhinovirus B14	no rank	B14
