metric	value
species	HRV-C
taxonomy_id	463676
retrieval_date	2026-08-21
uniprot_query	protein_name:"Protein 2C"
source_records_seen	59
retained_expanded_sequences	3
primary_type_representatives	3
ncbi_taxonomy_subtree_rows	63
expected_type_labels	57
missing_expected_type_labels	54
missing_type_labels	C1,C10,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C51,C53,C55,C56,C58,C59,C6,C7,C8,C9
