taxonomy_id	scientific_name	rank	type_label
3117543	rhinovirus C59	no rank	C59
3117542	unclassified Rhinovirus C	no rank	ambiguous
2878086	rhinovirus C58	no rank	C58
2777135	rhinovirus C50	no rank	C50
2777134	rhinovirus C48	no rank	C48
2777133	rhinovirus C46	no rank	C46
2777132	rhinovirus C13	no rank	C13
2777131	rhinovirus C51	no rank	C51
2555550	rhinovirus C55	no rank	C55
2094116	rhinovirus C56	no rank	C56
2045080	rhinovirus C45	no rank	C45
2045079	rhinovirus C44	no rank	C44
2045078	rhinovirus C41	no rank	C41
2045077	rhinovirus C4	no rank	C4
2045076	rhinovirus C38	no rank	C38
2045075	rhinovirus C34	no rank	C34
2045074	rhinovirus C33	no rank	C33
2045073	rhinovirus C31	no rank	C31
2045072	rhinovirus C30	no rank	C30
2045071	rhinovirus C29	no rank	C29
2045070	rhinovirus C27	no rank	C27
2045069	rhinovirus C26	no rank	C26
2045068	rhinovirus C24	no rank	C24
2045067	rhinovirus C23	no rank	C23
2045066	rhinovirus C21	no rank	C21
2045065	rhinovirus C16	no rank	C16
2045064	rhinovirus C14	no rank	C14
2035045	rhinovirus C47	no rank	C47
2032983	rhinovirus C53	no rank	C53
1604833	rhinovirus C54	no rank	C54
1418070	rhinovirus C22	no rank	C22
1418069	rhinovirus C37	no rank	C37
1418067	rhinovirus C49	no rank	C49
1418066	rhinovirus C25	no rank	C25
1418065	rhinovirus C18	no rank	C18
1418064	rhinovirus C12	no rank	C12
1418062	rhinovirus C20	no rank	C20
1418043	rhinovirus C19	no rank	C19
1418042	rhinovirus C28	no rank	C28
1418041	rhinovirus C36	no rank	C36
1418035	rhinovirus C39	no rank	C39
1418033	rhinovirus C15	no rank	C15
1418031	rhinovirus C5	no rank	C5
1240004	rhinovirus C11	no rank	C11
1220265	rhinovirus C9	no rank	C9
1219419	rhinovirus C10	no rank	C10
1219416	rhinovirus C1	no rank	C1
1219413	rhinovirus C43	no rank	C43
1219407	rhinovirus C42	no rank	C42
1219406	rhinovirus C40	no rank	C40
1219405	rhinovirus C32	no rank	C32
1219404	rhinovirus C17	no rank	C17
1219380	rhinovirus C8	no rank	C8
1219379	rhinovirus C7	no rank	C7
1219378	rhinovirus C6	no rank	C6
1219377	rhinovirus C3	no rank	C3
1219376	rhinovirus C2	no rank	C2
1077430	rhinovirus C35	no rank	C35
992231	Human rhinovirus NAT045	no rank	ambiguous
992230	Human rhinovirus NAT001	no rank	ambiguous
655428	Human rhinovirus QCE	no rank	ambiguous
463676	Rhinovirus C	no rank	ambiguous
435275	Human rhinovirus QPM	no rank	ambiguous
