system_id	construct_id	junction	tag_form	replica	target_ns	fallback_minimum_ns	job_id	status	trajectory_path	checkpoint_path	energy_path	achieved_ns	slurm_array_index
WT_112_321	WT_112_321	WT	WT	1	50	20	164351_0	running_sacct_164351				0	0
WT_112_321	WT_112_321	WT	WT	2	50	20	164351_1	running_sacct_164351				0	1
WT_112_321	WT_112_321	WT	WT	3	50	20	164351_2	running_sacct_164351				0	2
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	1	50	20	164351_3	running_sacct_164351				0	3
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	2	50	20	164359_4	running_sacct_164359				0	4
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	3	50	20	164359_5	queued_any_allowed_gpu_164359				0	5
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	1	50	20	164359_6	queued_any_allowed_gpu_164359				0	6
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	2	50	20	164359_7	queued_any_allowed_gpu_164359				0	7
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	3	50	20	164359_8	queued_any_allowed_gpu_164359				0	8
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	1	50	20	164359_9	queued_any_allowed_gpu_164359				0	9
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	2	50	20	164359_10	queued_any_allowed_gpu_164359				0	10
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	3	50	20	164359_11	queued_any_allowed_gpu_164359				0	11
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	1	50	20	164359_12	queued_any_allowed_gpu_164359				0	12
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	2	50	20	164359_13	queued_any_allowed_gpu_164359				0	13
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	3	50	20	164359_14	queued_any_allowed_gpu_164359				0	14
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	1	50	20	164359_15	queued_any_allowed_gpu_164359				0	15
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	2	50	20	164359_16	queued_any_allowed_gpu_164359				0	16
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	3	50	20	164359_17	queued_any_allowed_gpu_164359				0	17
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	1	50	20	164359_18	queued_any_allowed_gpu_164359				0	18
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	2	50	20	164359_19	queued_any_allowed_gpu_164359				0	19
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	3	50	20	164359_20	queued_any_allowed_gpu_164359				0	20
A89_2C_224_225_MAP8_112_321	A89_2C_224_225_MAP8	224|225	MAP8	1	50	20	164359_21	queued_any_allowed_gpu_164359				0	21
A89_2C_224_225_MAP8_112_321	A89_2C_224_225_MAP8	224|225	MAP8	2	50	20	164359_22	queued_any_allowed_gpu_164359				0	22
A89_2C_224_225_MAP8_112_321	A89_2C_224_225_MAP8	224|225	MAP8	3	50	20	164359_23	queued_any_allowed_gpu_164359				0	23
