system_id	construct_id	junction	tag_form	replica	slurm_array_index	tpr_path	trajectory_path	gro_path	edr_path	cpt_path	log_path	tpr_exists	xtc_exists	gro_exists	edr_exists	cpt_exists	log_exists	xtc_size_bytes	final_time_ns	frame_count	native_ca_count	protein_atom_count	box_available	completion_log_has_finished_mdrun	pbc_transform_status	energy_status	temperature_K_mean	temperature_K_sd	temperature_K_drift	pressure_bar_mean	pressure_bar_sd	pressure_bar_drift	potential_kjmol_mean	potential_kjmol_sd	potential_kjmol_drift	total_energy_kjmol_mean	total_energy_kjmol_sd	total_energy_kjmol_drift
WT_112_321	WT_112_321	WT	WT	1	0	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_1/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_1/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_1/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_1/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_1/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_1/prod_20ns.log	True	True	True	True	True	True	31100480	20.0	201	210	3269	True	True	mdanalysis_unwrap_center_applied	finite	299.9591286596701	1.5788748470651677	2.95706100000001	3.6437912833583215	133.22614922861948	-158.526138	-582270.2473763118	817.5266681005659	-167.9375	-474629.25229572714	1074.2312948708861	893.21875
WT_112_321	WT_112_321	WT	WT	2	1	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_2/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_2/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_2/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_2/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_2/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_2/prod_20ns.log	True	True	True	True	True	True	31095544	20.0	201	210	3269	True	True	mdanalysis_unwrap_center_applied	finite	299.95244450874566	1.5790259519524796	1.613250999999991	6.0802021904047985	136.82717650830548	278.452477	-582238.1821901549	820.3801417511299	-1574.625	-474599.5855197401	1097.8008777735308	-995.6875
WT_112_321	WT_112_321	WT	WT	3	2	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_3/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_3/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_3/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_3/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_3/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/WT_112_321/replica_3/prod_20ns.log	True	True	True	True	True	True	31099220	20.0	201	210	3269	True	True	mdanalysis_unwrap_center_applied	finite	299.9772531754123	1.5918369381736523	0.08398399999998674	-0.2618317421289357	133.54029693869182	-128.322155	-582289.5178035982	803.999627227097	-2336.125	-474642.0188655672	1054.838856930385	-2305.96875
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	1	3	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_1/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_1/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_1/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_1/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_1/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_1/prod_20ns.log	True	True	True	True	True	True	31244476	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	300.07518672763615	1.6099363221187786	0.3462220000000116	0.11292263168415756	137.24494834445073	-187.858811	-584092.4075774612	811.5899261193504	-562.4375	-475855.8830116192	1094.2004530745432	-437.53125
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	2	4	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_2/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_2/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_2/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_2/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_2/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_2/prod_20ns.log	True	True	True	True	True	True	31248420	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	300.0289436901549	1.5929318144334264	-2.917419999999993	-2.9958946296851563	134.98273326685757	-162.00839699999997	-584063.2908233383	833.964387784267	-2205.8125	-475843.4457146427	1097.6270201828195	-3258.09375
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	3	5	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_3/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_3/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_3/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_3/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_3/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/replica_3/prod_20ns.log	True	True	True	True	True	True	31245184	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	300.04462401199396	1.6042946752883707	-1.2893680000000245	2.3708038910544715	136.69213146976134	48.255318	-584042.223888056	835.9574530150559	-1295.625	-475816.7228573213	1106.3196210093581	-1760.75
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	1	6	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_1/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_1/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_1/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_1/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_1/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_1/prod_20ns.log	True	True	True	True	True	True	31089168	20.0	201	210	3354	True	True	mdanalysis_unwrap_center_applied	finite	299.98596439730136	1.5769980024158232	0.36407400000001644	2.8301188445777115	137.21673970648797	-201.18655300000003	-582107.1016991504	819.6102488996403	244.8125	-474455.22922913544	1080.8183327426373	375.4375
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	2	7	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_2/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_2/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_2/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_2/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_2/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_2/prod_20ns.log	True	True	True	True	True	True	31088932	20.0	201	210	3354	True	True	mdanalysis_unwrap_center_applied	finite	299.9650945522239	1.6048669447382884	2.1963800000000333	10.924997750124938	139.41152248349616	321.849594	-582084.7011494252	818.7298792250505	-628.3125	-474440.318372064	1080.6150393390678	159.875
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	3	8	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_3/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_3/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_3/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_3/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_3/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/replica_3/prod_20ns.log	True	True	True	True	True	True	31090552	20.0	201	210	3354	True	True	mdanalysis_unwrap_center_applied	finite	300.02372813093456	1.6085297088588668	2.57034299999998	-2.58329188055972	135.22525140634028	-12.422027999999997	-582029.1225324838	818.8142944553761	-526.625	-474363.6987131434	1095.223739464902	395.75
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	1	9	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_1/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_1/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_1/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_1/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_1/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_1/prod_20ns.log	True	True	True	True	True	True	31274424	20.0	201	210	3410	True	True	mdanalysis_unwrap_center_applied	finite	300.03871493453266	1.5662172066068003	-1.8682870000000094	1.3649704212893568	135.9953277120815	158.96125	-584694.4880684657	825.2902846109315	-2441.4375	-476343.89071089454	1073.207919657484	-3116.125
