sequence_id	alignment_score	ref_coverage	pairwise_identity
A5GZE7|A10|a89_local_alignment_provisional	372	1.0000	0.7227
B9V496|A100|a89_local_alignment_provisional	363	1.0000	0.7134
A0A1W5RRV7|A101|a89_local_alignment_provisional	312	0.9907	0.6792
E1U266|A102|a89_local_alignment_provisional	291	0.9907	0.6572
F6N707|A103|a89_local_alignment_provisional	290	0.9938	0.6489
A7KC06|A11|a89_local_alignment_provisional	376	0.9969	0.7344
A7KC07|A12|a89_local_alignment_provisional	291	0.9907	0.6541
B9V437|A13|a89_local_alignment_provisional	390	1.0000	0.7414
A5GZE2|A15|a89_local_alignment_provisional	381	1.0000	0.7321
Q82122|A16|uniprot_chain_exact	402	1.0000	0.7539
B9V439|A18|a89_local_alignment_provisional	369	1.0000	0.7196
B9V440|A19|a89_local_alignment_provisional	387	1.0000	0.7383
P23008|A1A|uniprot_chain_exact	393	1.0000	0.7445
P12916|A1B|uniprot_chain_exact	390	1.0000	0.7414
P04936|A2|uniprot_chain_exact	375	1.0000	0.7259
B9V441|A20|a89_local_alignment_provisional	303	0.9907	0.6698
A0A1L1YP39|A21|a89_local_alignment_provisional	387	1.0000	0.7383
A0A1P8DD92|A22|a89_local_alignment_provisional	408	1.0000	0.7601
A5GZE6|A23|a89_local_alignment_provisional	369	1.0000	0.7196
A7KC08|A24|a89_local_alignment_provisional	394	0.9969	0.7531
B9V444|A25|a89_local_alignment_provisional	375	1.0000	0.7259
A5GZF7|A28|a89_local_alignment_provisional	312	0.9907	0.6792
B9V446|A29|a89_local_alignment_provisional	375	1.0000	0.7259
A5GZG1|A30|a89_local_alignment_provisional	363	1.0000	0.7134
B9V447|A31|a89_local_alignment_provisional	381	1.0000	0.7321
B9V448|A32|a89_local_alignment_provisional	393	1.0000	0.7445
B9V449|A33|a89_local_alignment_provisional	397	0.9969	0.7562
A5GZF0|A34|a89_local_alignment_provisional	378	1.0000	0.7290
A5GZF4|A36|a89_local_alignment_provisional	606	1.0000	0.9626
A5GZE4|A38|a89_local_alignment_provisional	384	1.0000	0.7352
A0A0G2T687|A39|a89_local_alignment_provisional	372	1.0000	0.7227
B9V450|A40|a89_local_alignment_provisional	375	1.0000	0.7259
A5GZE0|A41|a89_local_alignment_provisional	387	1.0000	0.7383
B9V452|A43|a89_local_alignment_provisional	372	1.0000	0.7227
A5GZE8|A44|a89_local_alignment_provisional	375	1.0000	0.7259
B9V453|A45|a89_local_alignment_provisional	219	1.0000	0.5607
A5GZF5|A46|a89_local_alignment_provisional	300	0.9907	0.6667
B9V454|A47|a89_local_alignment_provisional	378	1.0000	0.7290
A5GZE5|A49|a89_local_alignment_provisional	354	1.0000	0.7040
B9V456|A50|a89_local_alignment_provisional	378	1.0000	0.7290
B9V457|A51|a89_local_alignment_provisional	303	0.9907	0.6698
A5GZF6|A53|a89_local_alignment_provisional	291	0.9907	0.6572
B9V459|A54|a89_local_alignment_provisional	384	1.0000	0.7352
A5GZG0|A55|a89_local_alignment_provisional	378	1.0000	0.7290
B9V461|A56|a89_local_alignment_provisional	384	1.0000	0.7352
B9V462|A57|a89_local_alignment_provisional	390	1.0000	0.7414
B9V463|A58|a89_local_alignment_provisional	582	1.0000	0.9377
A5GZE9|A59|a89_local_alignment_provisional	367	0.9969	0.7250
B9V464|A60|a89_local_alignment_provisional	387	1.0000	0.7383
B9V465|A61|a89_local_alignment_provisional	372	1.0000	0.7227
B9V466|A62|a89_local_alignment_provisional	372	1.0000	0.7227
B9V467|A63|a89_local_alignment_provisional	372	1.0000	0.7227
A7KC09|A64|a89_local_alignment_provisional	402	1.0000	0.7539
B9V468|A65|a89_local_alignment_provisional	297	0.9907	0.6635
B9V469|A66|a89_local_alignment_provisional	384	1.0000	0.7352
B9V470|A67|a89_local_alignment_provisional	390	1.0000	0.7414
B9V471|A68|a89_local_alignment_provisional	291	0.9907	0.6572
A5GZF2|A7|a89_local_alignment_provisional	576	1.0000	0.9315
B9V473|A71|a89_local_alignment_provisional	312	0.9907	0.6792
A5GZE1|A73|a89_local_alignment_provisional	387	1.0000	0.7383
A5GZE3|A74|a89_local_alignment_provisional	393	1.0000	0.7445
A5GZF9|A75|a89_local_alignment_provisional	378	1.0000	0.7290
A5GZF1|A76|a89_local_alignment_provisional	388	0.9969	0.7469
B9V475|A77|a89_local_alignment_provisional	369	1.0000	0.7196
A7KC10|A78|a89_local_alignment_provisional	334	0.9969	0.6906
B9V434|A8|a89_local_alignment_provisional	249	1.0000	0.5919
B9V477|A80|a89_local_alignment_provisional	298	0.9969	0.6500
B9V478|A81|a89_local_alignment_provisional	408	1.0000	0.7601
A5GZF8|A82|a89_local_alignment_provisional	390	1.0000	0.7414
B9V484|A85|a89_local_alignment_provisional	375	1.0000	0.7259
A5GZF3|A88|a89_local_alignment_provisional	588	1.0000	0.9439
A89_REF|A89|repository_authoritative	642	1.0000	1.0000
B9V435|A9|a89_local_alignment_provisional	388	0.9969	0.7469
B9V488|A90|a89_local_alignment_provisional	367	0.9969	0.7250
A7KC11|A94|a89_local_alignment_provisional	405	1.0000	0.7570
B9V491|A95|a89_local_alignment_provisional	249	1.0000	0.5919
B9V492|A96|a89_local_alignment_provisional	387	1.0000	0.7383
B9V494|A98|a89_local_alignment_provisional	372	1.0000	0.7227
