construct_id	junction	tag_form	model_file	ss_status	tag_mean_sasa_A2	local_coil_fraction	local_helix_fraction	local_sheet_fraction	tag_coil_fraction
A89_2C_WT	WT	WT	results/open_structure_007/wt_smoke/A89_2C_WT_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_007.pdb	completed		0.5	0.5	0.0	
A89_2C_155_156_G196_minimal	155|156	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_155_156_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	102.60859680175781	1.0	0.0	0.0	1.0
A89_2C_155_156_G196_practical_GS	155|156	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_155_156_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	99.23837280273438	0.75	0.25	0.0	0.8888888888888888
A89_2C_155_156_HA	155|156	HA	results/open_structure_007/tier1_shallow/A89_2C_155_156_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	113.48429107666016	1.0	0.0	0.0	1.0
A89_2C_155_156_MAP8	155|156	MAP8	results/open_structure_007/tier1_shallow/A89_2C_155_156_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	85.74381256103516	1.0	0.0	0.0	1.0
A89_2C_203_204_G196_minimal	203|204	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_203_204_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	112.38961029052734	1.0	0.0	0.0	1.0
A89_2C_203_204_G196_practical_GS	203|204	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_203_204_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	91.30522155761719	1.0	0.0	0.0	1.0
A89_2C_203_204_HA	203|204	HA	results/open_structure_007/tier1_shallow/A89_2C_203_204_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	109.83048248291016	1.0	0.0	0.0	1.0
A89_2C_203_204_MAP8	203|204	MAP8	results/open_structure_007/tier1_shallow/A89_2C_203_204_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	97.48385620117188	1.0	0.0	0.0	1.0
A89_2C_216_217_G196_minimal	216|217	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_216_217_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	82.72611999511719	0.625	0.0	0.375	1.0
