sequence_id	accession	source_database	organism	taxonomy_id	type_label	entry_type	polyprotein_length	sequence_length	boundary_start	boundary_end	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	unknown_fraction	completeness	retain	retain_reason	exclude_reason	retrieval_date
E5D8F2|ambiguous|uniprot_chain_exact	E5D8F2	UniProtKB	Human rhinovirus C (strain C15)	1418033	ambiguous	UniProtKB reviewed (Swiss-Prot)	2153	326	1088	1413	uniprot_chain_exact	high	1.0	1.0	0.0000	excluded	False		ambiguous_type_label	2026-08-21
A0A140CTC1|ambiguous|a89_local_alignment_provisional	A0A140CTC1	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2146	325	1082	1406	a89_local_alignment_provisional	provisional	0.9969	0.4890	0.0000	excluded	False		ambiguous_type_label	2026-08-21
A0A172GFX9|ambiguous|a89_local_alignment_provisional	A0A172GFX9	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2155	293	1091	1383	a89_local_alignment_provisional	provisional	0.8972	0.5122	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
A0A1W5RRT5|C3|a89_local_alignment_provisional	A0A1W5RRT5	UniProtKB	rhinovirus C3	1219377	C3	UniProtKB unreviewed (TrEMBL)	2143	285	1078	1362	a89_local_alignment_provisional	provisional	0.8754	0.5393	0.0000	excluded	False		weak_A89_alignment	2026-08-21
A0A2H5AJN4|ambiguous|a89_local_alignment_provisional	A0A2H5AJN4	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2149	325	1085	1409	a89_local_alignment_provisional	provisional	0.9969	0.4844	0.0000	excluded	False		ambiguous_type_label	2026-08-21
A8S322|C4|a89_local_alignment_provisional	A8S322	UniProtKB	rhinovirus C4	2045077	C4	UniProtKB unreviewed (TrEMBL)	2144	286	1080	1365	a89_local_alignment_provisional	provisional	0.8754	0.5464	0.0000	excluded	False		weak_A89_alignment	2026-08-21
F6M9Y8|ambiguous|a89_local_alignment_provisional	F6M9Y8	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2062	286	1080	1365	a89_local_alignment_provisional	provisional	0.8754	0.5464	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G0ZNT5|C51|a89_local_alignment_provisional	G0ZNT5	UniProtKB	rhinovirus C51	2777131	C51	UniProtKB unreviewed (TrEMBL)	2142	285	1079	1363	a89_local_alignment_provisional	provisional	0.8754	0.5000	0.0000	excluded	False		weak_A89_alignment	2026-08-21
G8IJF1|ambiguous|a89_local_alignment_provisional	G8IJF1	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2064	286	1080	1365	a89_local_alignment_provisional	provisional	0.8754	0.5464	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJF4|ambiguous|a89_local_alignment_provisional	G8IJF4	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2145	290	1086	1375	a89_local_alignment_provisional	provisional	0.8879	0.5282	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
