sequence_id	accession	source_database	organism	taxonomy_id	type_label	entry_type	polyprotein_length	sequence_length	boundary_start	boundary_end	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	unknown_fraction	completeness	retain	retain_reason	exclude_reason	retrieval_date
P03303|B14|uniprot_chain_exact	P03303	UniProtKB	Human rhinovirus 14	12131	B14	UniProtKB reviewed (Swiss-Prot)	2179	330	1100	1429	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
Q82081|B3|uniprot_chain_exact	Q82081	UniProtKB	Human rhinovirus 3	44130	B3	UniProtKB reviewed (Swiss-Prot)	2178	330	1099	1428	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZD7|B48|a89_local_alignment_provisional	A5GZD7	UniProtKB	rhinovirus B48	147679	B48	UniProtKB unreviewed (TrEMBL)	2184	305	1107	1411	a89_local_alignment_provisional	provisional	0.9252	0.5541	0.0000	excluded	False		weak_A89_alignment	2026-08-21
A7KC17|B93|a89_local_alignment_provisional	A7KC17	UniProtKB	rhinovirus B93	167327	B93	UniProtKB unreviewed (TrEMBL)	2178	312	1101	1412	a89_local_alignment_provisional	provisional	0.9470	0.5329	0.0000	excluded	False		weak_A89_alignment	2026-08-21
B9V433|B5|a89_local_alignment_provisional	B9V433	UniProtKB	rhinovirus B5	147714	B5	UniProtKB unreviewed (TrEMBL)	2177	312	1100	1411	a89_local_alignment_provisional	provisional	0.9470	0.5428	0.0000	excluded	False		weak_A89_alignment	2026-08-21
G4XDR9|ambiguous|a89_local_alignment_provisional	G4XDR9	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2151	305	1105	1409	a89_local_alignment_provisional	provisional	0.9252	0.5387	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G5D5D7|ambiguous|a89_local_alignment_provisional	G5D5D7	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2179	305	1106	1410	a89_local_alignment_provisional	provisional	0.9252	0.5455	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJE7|ambiguous|a89_local_alignment_provisional	G8IJE7	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2178	305	1102	1406	a89_local_alignment_provisional	provisional	0.9252	0.5387	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJF7|ambiguous|a89_local_alignment_provisional	G8IJF7	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2148	305	1101	1405	a89_local_alignment_provisional	provisional	0.9252	0.5507	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJF8|ambiguous|a89_local_alignment_provisional	G8IJF8	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2177	312	1100	1411	a89_local_alignment_provisional	provisional	0.9470	0.5362	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJH3|ambiguous|a89_local_alignment_provisional	G8IJH3	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2178	294	1101	1394	a89_local_alignment_provisional	provisional	0.8910	0.5594	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G9K137|ambiguous|a89_local_alignment_provisional	G9K137	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2183	305	1107	1411	a89_local_alignment_provisional	provisional	0.9252	0.5507	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
H9C6N5|ambiguous|a89_local_alignment_provisional	H9C6N5	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2179	305	1102	1406	a89_local_alignment_provisional	provisional	0.9252	0.5354	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
H9C6N6|ambiguous|a89_local_alignment_provisional	H9C6N6	UniProtKB	Rhinovirus B	147712	ambiguous	UniProtKB unreviewed (TrEMBL)	2139	305	1106	1410	a89_local_alignment_provisional	provisional	0.9252	0.4714	0.1213	excluded	False		unknown_fraction_gt_0.05;ambiguous_type_label;weak_A89_alignment	2026-08-21
I3UJS8|B102|a89_local_alignment_provisional	I3UJS8	UniProtKB	rhinovirus B102	2777138	B102	UniProtKB unreviewed (TrEMBL)	2189	259	1108	1366	a89_local_alignment_provisional	provisional	0.7850	0.5714	0.0000	excluded	False		length_outside_285_360;weak_A89_alignment	2026-08-21
A5GZD8|B70|a89_local_alignment_provisional	A5GZD8	UniProtKB	rhinovirus B70	185926	B70	UniProtKB unreviewed (TrEMBL)	2186	305	1109	1413	a89_local_alignment_provisional	provisional	0.9252	0.5623	0.0000	excluded	False		weak_A89_alignment	2026-08-21
A7KC15|B37|a89_local_alignment_provisional	A7KC15	UniProtKB	rhinovirus B37	147680	B37	UniProtKB unreviewed (TrEMBL)	2178	305	1101	1405	a89_local_alignment_provisional	provisional	0.9252	0.5421	0.0000	excluded	False		weak_A89_alignment	2026-08-21
B9V445|B26|a89_local_alignment_provisional	B9V445	UniProtKB	rhinovirus B26	185899	B26	UniProtKB unreviewed (TrEMBL)	2176	312	1099	1410	a89_local_alignment_provisional	provisional	0.9470	0.5296	0.0000	excluded	False		weak_A89_alignment	2026-08-21
B9V472|B69|a89_local_alignment_provisional	B9V472	UniProtKB	Rhinovirus B69	147678	B69	UniProtKB unreviewed (TrEMBL)	2183	305	1106	1410	a89_local_alignment_provisional	provisional	0.9252	0.5387	0.0033	excluded	False		weak_A89_alignment	2026-08-21
B9V483|B84|a89_local_alignment_provisional	B9V483	UniProtKB	rhinovirus B84	167328	B84	UniProtKB unreviewed (TrEMBL)	2177	288	1100	1387	a89_local_alignment_provisional	provisional	0.8723	0.5643	0.0035	excluded	False		weak_A89_alignment	2026-08-21
