system_id	construct_id	junction	tag_form	topology_status	minimization_status	nvt_status	npt_status	smoke_production_status	qc_pass	reason	em_gro	npt_gro	prod_smoke_xtc
WT_112_321	WT_112_321	WT	WT	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/WT_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/WT_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/WT_112_321/prod_smoke.xtc
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/prod_smoke.xtc
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/prod_smoke.xtc
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/prod_smoke.xtc
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/prod_smoke.xtc
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/prod_smoke.xtc
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/prod_smoke.xtc
A89_2C_224_225_MAP8_112_321	A89_2C_224_225_MAP8	224|225	MAP8	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_MAP8_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_MAP8_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_MAP8_112_321/prod_smoke.xtc
A89_2C_248_249_MAP8_112_321	A89_2C_248_249_MAP8	248|249	MAP8	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_248_249_MAP8_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_248_249_MAP8_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_248_249_MAP8_112_321/prod_smoke.xtc
A89_2C_248_249_HA_112_321	A89_2C_248_249_HA	248|249	HA	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_248_249_HA_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_248_249_HA_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_248_249_HA_112_321/prod_smoke.xtc
A89_2C_203_204_G196_minimal_112_321	A89_2C_203_204_G196_minimal	203|204	G196_minimal	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_203_204_G196_minimal_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_203_204_G196_minimal_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_203_204_G196_minimal_112_321/prod_smoke.xtc
A89_2C_256_257_MAP8_112_321	A89_2C_256_257_MAP8	256|257	MAP8	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_256_257_MAP8_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_256_257_MAP8_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_256_257_MAP8_112_321/prod_smoke.xtc
A89_2C_155_156_MAP8_112_321	A89_2C_155_156_MAP8	155|156	MAP8	completed	completed	completed	completed	completed	true	complete_preproduction_smoke	results/broad_dynamics_009/gromacs/systems/A89_2C_155_156_MAP8_112_321/em.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_155_156_MAP8_112_321/npt.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_155_156_MAP8_112_321/prod_smoke.xtc
