system_id	construct_id	junction	tag_form	source_pdb	prepared_pdb	source_resid_start	source_resid_end	atom_count	residue_count	force_field	water_model	terminal_policy	box_policy	ion_policy
WT_112_321	WT_112_321	WT	WT	results/open_structure_007/wt_smoke/A89_2C_WT_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_007.pdb	results/broad_dynamics_009/gromacs/systems/WT_112_321/input_112_321.pdb	112	321	1628	210	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_MAP8_112_321/input_112_321.pdb	112	329	1677	218	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	results/candidate_panel_008/expanded_colabfold/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_289_290_G196_minimal_112_321/input_112_321.pdb	112	326	1669	215	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	results/candidate_panel_008/expanded_colabfold/A89_2C_288_289_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/input_112_321.pdb	112	330	1706	219	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_288_289_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/input_112_321.pdb	112	329	1677	218	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/input_112_321.pdb	112	329	1677	218	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/input_112_321.pdb	112	330	1706	219	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_224_225_MAP8_112_321	A89_2C_224_225_MAP8	224|225	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_MAP8_112_321/input_112_321.pdb	112	329	1677	218	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_248_249_MAP8_112_321	A89_2C_248_249_MAP8	248|249	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_248_249_MAP8_112_321/input_112_321.pdb	112	329	1677	218	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_248_249_HA_112_321	A89_2C_248_249_HA	248|249	HA	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_HA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_248_249_HA_112_321/input_112_321.pdb	112	330	1706	219	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_203_204_G196_minimal_112_321	A89_2C_203_204_G196_minimal	203|204	G196_minimal	results/candidate_panel_008/expanded_colabfold/A89_2C_203_204_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_203_204_G196_minimal_112_321/input_112_321.pdb	112	326	1669	215	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_256_257_MAP8_112_321	A89_2C_256_257_MAP8	256|257	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_256_257_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_256_257_MAP8_112_321/input_112_321.pdb	112	329	1677	218	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
A89_2C_155_156_MAP8_112_321	A89_2C_155_156_MAP8	155|156	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_155_156_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	results/broad_dynamics_009/gromacs/systems/A89_2C_155_156_MAP8_112_321/input_112_321.pdb	112	329	1677	218	charmm36	tip3p	GROMACS pdb2gmx default charged termini, applied consistently	dodecahedron, 1.0 nm minimum image distance	neutralize and add 0.15 M NaCl via genion
