sequence_id	accession	source_database	organism	taxonomy_id	type_label	entry_type	polyprotein_length	sequence_length	boundary_start	boundary_end	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	unknown_fraction	completeness	retain	retain_reason	exclude_reason	retrieval_date
A5GZE7|A10|a89_local_alignment_provisional	A5GZE7	UniProtKB	rhinovirus A10	185892	A10	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V496|A100|a89_local_alignment_provisional	B9V496	UniProtKB	rhinovirus A100	185946	A100	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7134	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A1W5RRV7|A101|a89_local_alignment_provisional	A0A1W5RRV7	UniProtKB	rhinovirus A101	1219381	A101	UniProtKB unreviewed (TrEMBL)	2158	321	1097	1417	a89_local_alignment_provisional	provisional	1.0000	0.6792	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
E1U266|A102|a89_local_alignment_provisional	E1U266	UniProtKB	rhinovirus A102	2777141	A102	UniProtKB unreviewed (TrEMBL)	2165	321	1104	1424	a89_local_alignment_provisional	provisional	1.0000	0.6572	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
F6N707|A103|a89_local_alignment_provisional	F6N707	UniProtKB	rhinovirus A103	1033850	A103	UniProtKB unreviewed (TrEMBL)	2168	321	1107	1427	a89_local_alignment_provisional	provisional	1.0000	0.6489	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC06|A11|a89_local_alignment_provisional	A7KC06	UniProtKB	rhinovirus A11	39767	A11	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7344	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC07|A12|a89_local_alignment_provisional	A7KC07	UniProtKB	rhinovirus A12	147684	A12	UniProtKB unreviewed (TrEMBL)	2155	320	1096	1415	a89_local_alignment_provisional	provisional	1.0000	0.6541	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V437|A13|a89_local_alignment_provisional	B9V437	UniProtKB	rhinovirus A13	185893	A13	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7414	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE2|A15|a89_local_alignment_provisional	A5GZE2	UniProtKB	rhinovirus A15	185894	A15	UniProtKB unreviewed (TrEMBL)	2159	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7321	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
Q82122|A16|uniprot_chain_exact	Q82122	UniProtKB	Human rhinovirus 16	31708	A16	UniProtKB reviewed (Swiss-Prot)	2153	322	1091	1412	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V439|A18|a89_local_alignment_provisional	B9V439	UniProtKB	rhinovirus A18	147674	A18	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7196	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V440|A19|a89_local_alignment_provisional	B9V440	UniProtKB	rhinovirus A19	185895	A19	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
