construct_id	junction	tag_form	tag_length	model_file	json_file	rank	model	seed	mean_ca_plddt_from_pdb	ptm	ranking_confidence	prediction_status
A89_2C_155_156_MAP8	155|156	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_155_156_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb		001	1	031	84.50091185410334			completed
A89_2C_155_156_MAP8	155|156	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_155_156_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb		002	1	032	84.37340425531917			completed
A89_2C_203_204_G196_minimal	203|204	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_203_204_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb		001	1	031	84.42552147239265			completed
A89_2C_203_204_G196_minimal	203|204	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_203_204_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb		002	1	032	82.28546012269942			completed
A89_2C_224_225_G196_minimal	224|225	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb		001	1	031	77.59990797546017			completed
A89_2C_224_225_G196_minimal	224|225	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb		002	1	032	76.29604294478533			completed
A89_2C_224_225_HA	224|225	HA	9	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	83.21806060606065			completed
A89_2C_224_225_HA	224|225	HA	9	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_HA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	82.6011818181818			completed
A89_2C_224_225_MAP8	224|225	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	83.71009118541039			completed
A89_2C_224_225_MAP8	224|225	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	82.72841945288754			completed
A89_2C_248_249_HA	248|249	HA	9	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	87.19466666666668			completed
A89_2C_248_249_HA	248|249	HA	9	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_HA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	86.76136363636364			completed
A89_2C_248_249_MAP8	248|249	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	85.82571428571428			completed
A89_2C_248_249_MAP8	248|249	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	85.50975683890579			completed
A89_2C_256_257_MAP8	256|257	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_256_257_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	85.42130699088149			completed
A89_2C_256_257_MAP8	256|257	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_256_257_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	85.24066869300911			completed
A89_2C_287_288_G196_minimal	287|288	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_287_288_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	86.21947852760738			completed
A89_2C_287_288_G196_minimal	287|288	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_287_288_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	85.17769938650316			completed
A89_2C_287_288_MAP8	287|288	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_287_288_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	85.2798784194529			completed
A89_2C_287_288_MAP8	287|288	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_287_288_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	85.23860182370821			completed
A89_2C_288_289_G196_minimal	288|289	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_288_289_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	85.60208588957056			completed
A89_2C_288_289_G196_minimal	288|289	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_288_289_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	85.41917177914107			completed
A89_2C_288_289_HA	288|289	HA	9	results/candidate_panel_008/expanded_colabfold/A89_2C_288_289_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb		001	1	031	85.74548484848495			completed
A89_2C_288_289_HA	288|289	HA	9	results/candidate_panel_008/expanded_colabfold/A89_2C_288_289_HA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb		002	1	032	85.5335151515152			completed
A89_2C_288_289_MAP8	288|289	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_288_289_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	85.36799392097258			completed
A89_2C_288_289_MAP8	288|289	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_288_289_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	85.21729483282675			completed
A89_2C_289_290_G196_minimal	289|290	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb		001	1	031	85.79766871165637			completed
A89_2C_289_290_G196_minimal	289|290	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_289_290_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb		002	1	032	85.49116564417182			completed
A89_2C_289_290_HA	289|290	HA	9	results/candidate_panel_008/expanded_colabfold/A89_2C_289_290_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb		001	1	032	85.56721212121207			completed
A89_2C_289_290_HA	289|290	HA	9	results/candidate_panel_008/expanded_colabfold/A89_2C_289_290_HA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb		002	1	031	85.414696969697			completed
A89_2C_289_290_MAP8	289|290	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb		001	1	031	84.95151975683898			completed
A89_2C_289_290_MAP8	289|290	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_289_290_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb		002	1	032	84.12194528875384			completed
A89_2C_290_291_G196_minimal	290|291	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_290_291_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb		001	1	031	86.59542944785272			completed
A89_2C_290_291_G196_minimal	290|291	G196_minimal	5	results/candidate_panel_008/expanded_colabfold/A89_2C_290_291_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb		002	1	032	86.24834355828217			completed
A89_2C_290_291_MAP8	290|291	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb		001	1	031	85.57145896656537			completed
A89_2C_290_291_MAP8	290|291	MAP8	8	results/candidate_panel_008/expanded_colabfold/A89_2C_290_291_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb		002	1	032	85.28586626139817			completed
