construct_id	metric	block_0_5_mean	block_5_10_mean	block_10_15_mean	block_15_20_mean	late_minus_early_mean	late_minus_early_sd	replica_directional_agreement	block_stability_note	directional_drift_observed	absolute_extension_threshold	absolute_extension_trigger	wt_late_minus_early_mean	candidate_minus_wt_late_minus_early	wt_differential_applicable	candidate_specific_excess_drift_vs_wt	candidate_vs_wt_drift_interpretation
A89_2C_155_156_MAP8	self_drift_rmsd	1.7170312662911815	1.8419458651445149	1.8715451683849322	1.9819179876257014	0.2648867213345196	0.09956683260494398	3	directional_drift_all_replicas	yes	0.75	no	0.6312850942296823	-0.36639837289516264	yes	no	candidate_drift_lower_than_WT_relaxation
A89_2C_224_225_MAP8	self_drift_rmsd	1.6337067496915125	1.8429914929059663	1.9258228583883354	1.9380536622116056	0.3043469125200932	0.23467152332850116	3	directional_drift_all_replicas	yes	0.75	no	0.6312850942296823	-0.32693818170958905	yes	no	candidate_drift_lower_than_WT_relaxation
A89_2C_248_249_HA	self_drift_rmsd	1.553765109500387	1.8046103451468094	1.7094161332874969	1.5816190692183476	0.027853959717960636	0.18011637369360275	1	mixed_or_low_drift	no	0.75	no	0.6312850942296823	-0.6034311345117216	yes	no	candidate_drift_lower_than_WT_relaxation
A89_2C_256_257_MAP8	self_drift_rmsd	1.503604899767864	2.127829432057941	2.0448126629911716	2.0601648937205925	0.5565599939527285	0.4755724528292913	3	directional_drift_all_replicas	yes	0.75	no	0.6312850942296823	-0.07472510027695378	yes	no	candidate_drift_comparable_to_WT_relaxation
A89_2C_289_290_MAP8	self_drift_rmsd	1.6639147989187864	1.9688260554444768	2.051594442662036	2.15107518938796	0.4871603904691737	0.11384124387104486	3	directional_drift_all_replicas	yes	0.75	no	0.6312850942296823	-0.14412470376050857	yes	no	candidate_drift_comparable_to_WT_relaxation
WT_112_321	self_drift_rmsd	1.405674173624843	1.5395639942139565	1.869526485313919	2.0369592678545256	0.6312850942296823	0.283957785161327	3	directional_drift_all_replicas	yes	0.75	no	0.6312850942296823	NA	no	no	WT_baseline
A89_2C_155_156_MAP8	wt_reference_ensemble_rmsd	2.0218599392450396	2.028832884360701	2.037479379725362	2.0972448150060843	0.07538487576104476	0.07092848992557613	3	directional_drift_all_replicas	yes	0.75	no	0.36426346538873644	-0.2888785896276917	yes	no	candidate_drift_lower_than_WT_relaxation
A89_2C_224_225_MAP8	wt_reference_ensemble_rmsd	2.1515490383126465	2.216603545412743	2.1951935526378477	2.249504721251055	0.09795568293840813	0.108448603128437	2	mixed_or_low_drift	no	0.75	no	0.36426346538873644	-0.2663077824503283	yes	no	candidate_drift_lower_than_WT_relaxation
A89_2C_248_249_HA	wt_reference_ensemble_rmsd	1.573955224279386	1.7097266095926373	1.6233090697791617	1.4911006271018385	-0.08285459717754724	0.10424237240875416	1	mixed_or_low_drift	no	0.75	no	0.36426346538873644	-0.44711806256628367	yes	no	candidate_drift_lower_than_WT_relaxation
A89_2C_256_257_MAP8	wt_reference_ensemble_rmsd	1.3781739105025608	1.8826710527906567	1.754496474336251	1.8884620257440723	0.5102881152415115	0.4255657602066406	3	directional_drift_all_replicas	yes	0.75	no	0.36426346538873644	0.14602464985277508	yes	no	candidate_drift_comparable_to_WT_relaxation
