junction	v1_conservation_class	v2_conservation_class	v1_priority_interpretation	v2_priority_interpretation	v1_type_weighted_window_mean_identity	v2_type_weighted_window_mean_identity	v1_type_weighted_window_mean_entropy	v2_type_weighted_window_mean_entropy	v1_expanded_insertion_frequency	v2_expanded_insertion_frequency	v2_expanded_indel_category	interpretation_changed
1|2	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.937729	0.940631	0.256808	0.250978	0.000000	0.000000	none	False
2|3	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.945513	0.948052	0.224707	0.219606	0.000000	0.000000	none	False
3|4	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.951567	0.953824	0.199739	0.195205	0.000000	0.000000	none	False
4|5	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.956410	0.958442	0.179765	0.175684	0.000000	0.000000	none	False
5|6	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.879953	0.881936	0.210327	0.207016	0.000000	0.000000	none	False
6|7	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.889957	0.891775	0.192800	0.189765	0.000000	0.000000	none	False
7|8	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.889957	0.891775	0.192800	0.189765	0.000000	0.000000	none	False
8|9	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.889957	0.891775	0.192800	0.189765	0.000000	0.000000	none	False
9|10	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.910256	0.911255	0.107515	0.105989	0.000000	0.000000	none	False
10|11	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.909188	0.910173	0.115761	0.114323	0.000000	0.000000	none	False
11|12	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.925214	0.925325	0.051242	0.051695	0.000000	0.000000	none	False
12|13	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.925214	0.925325	0.051242	0.051695	0.000000	0.000000	none	False
13|14	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.925214	0.925325	0.051242	0.051695	0.000000	0.000000	none	False
14|15	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.925214	0.925325	0.051242	0.051695	0.000000	0.000000	none	False
15|16	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.912393	0.912338	0.102857	0.103718	0.000000	0.000000	none	False
16|17	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.912393	0.912338	0.102857	0.103718	0.000000	0.000000	none	False
17|18	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.908120	0.908009	0.107775	0.103520	0.000000	0.000000	none	False
18|19	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.908120	0.908009	0.107775	0.103520	0.000000	0.000000	none	False
19|20	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.908120	0.908009	0.107775	0.103520	0.000000	0.000000	none	False
20|21	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.908120	0.908009	0.107775	0.103520	0.000000	0.000000	none	False
21|22	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.908120	0.908009	0.107775	0.103520	0.000000	0.000000	none	False
22|23	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.909188	0.909091	0.099529	0.095186	0.000000	0.000000	none	False
23|24	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.909188	0.909091	0.099529	0.095186	0.000000	0.000000	none	False
24|25	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.871795	0.871212	0.182229	0.178022	0.000000	0.000000	none	False
25|26	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.871795	0.871212	0.182229	0.178022	0.000000	0.000000	none	False
26|27	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.794872	0.794372	0.295819	0.289810	0.000000	0.000000	none	False
27|28	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.806624	0.806277	0.252450	0.246120	0.000000	0.000000	none	False
28|29	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.804487	0.804113	0.268923	0.262766	0.000000	0.000000	none	False
29|30	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.882479	0.882035	0.221010	0.219603	0.000000	0.000000	none	False
30|31	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.882479	0.882035	0.221010	0.219603	0.000000	0.000000	none	False
31|32	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.882479	0.882035	0.221010	0.219603	0.000000	0.000000	none	False
32|33	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.882479	0.882035	0.221010	0.219603	0.000000	0.000000	none	False
33|34	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.881410	0.880952	0.229256	0.227936	0.000000	0.000000	none	False
34|35	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.867521	0.866883	0.292028	0.291236	0.000000	0.000000	none	False
35|36	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.864316	0.864719	0.311627	0.305718	0.000000	0.000000	none	False
36|37	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.901709	0.902597	0.228927	0.222882	0.000000	0.000000	none	False
37|38	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.834402	0.835498	0.303588	0.298126	0.000000	0.000000	none	False
38|39	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.836538	0.837662	0.281842	0.278937	0.000000	0.000000	none	False
39|40	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.826923	0.829004	0.319637	0.313964	0.000000	0.000000	none	False
40|41	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.815171	0.817100	0.357332	0.351903	0.000000	0.000000	none	False
41|42	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.736111	0.738095	0.542462	0.533902	0.000000	0.000000	none	False
42|43	variable	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.659188	0.661255	0.669388	0.657104	0.000000	0.000000	none	False
43|44	variable	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.653846	0.656926	0.706145	0.688149	0.000000	0.000000	none	False
44|45	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.652778	0.655844	0.714392	0.696482	0.000000	0.000000	none	False
45|46	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.594017	0.596320	0.785396	0.766427	0.000000	0.000000	none	False
46|47	variable	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.607906	0.610390	0.722625	0.703127	0.000000	0.000000	none	False
47|48	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.572650	0.576840	0.842628	0.821789	0.000000	0.000000	none	False
48|49	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.549679	0.555556	0.913415	0.890101	0.000000	0.000000	none	False
49|50	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.608440	0.615079	0.886667	0.858020	0.000000	0.000000	none	False
50|51	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	unchanged_or_unresolved	0.683226	0.689755	0.794823	0.765422	0.000000	0.000000	none	False
51|52	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.693910	0.699495	0.748781	0.722061	0.000000	0.000000	none	False
