tree_id	sequence_id
S001	VMR_FJ445111|A1|a89_local_alignment_provisional
S002	VMR_DQ473498|A10|a89_local_alignment_provisional
S003	VMR_FJ445175|A100|a89_local_alignment_provisional
S004	VMR_GQ415051|A101|a89_local_alignment_provisional
S005	VMR_EF155421|A102|a89_local_alignment_provisional
S006	VMR_JF965515|A103|a89_local_alignment_provisional
S007	VMR_JN562727|A104|a89_local_alignment_provisional
S008	VMR_JN614995|A105|a89_local_alignment_provisional
S009	VMR_EF173414|A11|a89_local_alignment_provisional
S010	VMR_EF173415|A12|a89_local_alignment_provisional
S011	VMR_FJ445116|A13|a89_local_alignment_provisional
S012	VMR_DQ473493|A15|a89_local_alignment_provisional
S013	VMR_L24917|A16|a89_local_alignment_provisional
S014	VMR_FJ445118|A18|a89_local_alignment_provisional
S015	VMR_FJ445119|A19|a89_local_alignment_provisional
S016	VMR_D00239|A1B|a89_local_alignment_provisional
S017	VMR_X02316|A2|a89_local_alignment_provisional
S018	VMR_FJ445120|A20|a89_local_alignment_provisional
S019	VMR_FJ445121|A21|a89_local_alignment_provisional
S020	VMR_FJ445122|A22|a89_local_alignment_provisional
S021	VMR_DQ473497|A23|a89_local_alignment_provisional
S022	VMR_EF173416|A24|a89_local_alignment_provisional
S023	VMR_FJ445123|A25|a89_local_alignment_provisional
S024	VMR_DQ473508|A28|a89_local_alignment_provisional
S025	VMR_FJ445125|A29|a89_local_alignment_provisional
S026	VMR_DQ473512|A30|a89_local_alignment_provisional
S027	VMR_FJ445126|A31|a89_local_alignment_provisional
S028	VMR_FJ445127|A32|a89_local_alignment_provisional
S029	VMR_FJ445128|A33|a89_local_alignment_provisional
S030	VMR_DQ473501|A34|a89_local_alignment_provisional
S031	VMR_DQ473505|A36|a89_local_alignment_provisional
S032	VMR_DQ473495|A38|a89_local_alignment_provisional
S033	VMR_AY751783|A39|a89_local_alignment_provisional
S034	VMR_FJ445129|A40|a89_local_alignment_provisional
S035	VMR_DQ473491|A41|a89_local_alignment_provisional
S036	VMR_FJ445131|A43|a89_local_alignment_provisional
S037	VMR_FJ445132|A45|a89_local_alignment_provisional
S038	VMR_DQ473506|A46|a89_local_alignment_provisional
S039	VMR_FJ445133|A47|a89_local_alignment_provisional
S040	VMR_DQ473496|A49|a89_local_alignment_provisional
S041	VMR_FJ445135|A50|a89_local_alignment_provisional
S042	VMR_FJ445136|A51|a89_local_alignment_provisional
S043	VMR_DQ473507|A53|a89_local_alignment_provisional
S044	VMR_FJ445138|A54|a89_local_alignment_provisional
S045	VMR_DQ473511|A55|a89_local_alignment_provisional
S046	VMR_FJ445140|A56|a89_local_alignment_provisional
S047	VMR_FJ445141|A57|a89_local_alignment_provisional
S048	VMR_FJ445142|A58|a89_local_alignment_provisional
S049	VMR_DQ473500|A59|a89_local_alignment_provisional
S050	VMR_FJ445143|A60|a89_local_alignment_provisional
S051	VMR_FJ445144|A61|a89_local_alignment_provisional
S052	VMR_FJ445145|A62|a89_local_alignment_provisional
S053	VMR_FJ445146|A63|a89_local_alignment_provisional
S054	VMR_EF173417|A64|a89_local_alignment_provisional
S055	VMR_FJ445147|A65|a89_local_alignment_provisional
S056	VMR_FJ445148|A66|a89_local_alignment_provisional
S057	VMR_FJ445149|A67|a89_local_alignment_provisional
S058	VMR_FJ445150|A68|a89_local_alignment_provisional
S059	VMR_DQ473503|A7|a89_local_alignment_provisional
S060	VMR_FJ445152|A71|a89_local_alignment_provisional
S061	VMR_DQ473492|A73|a89_local_alignment_provisional
S062	VMR_DQ473494|A74|a89_local_alignment_provisional
S063	VMR_DQ473510|A75|a89_local_alignment_provisional
S064	VMR_DQ473502|A76|a89_local_alignment_provisional
S065	VMR_FJ445154|A77|a89_local_alignment_provisional
S066	VMR_EF173418|A78|a89_local_alignment_provisional
S067	VMR_FJ445113|A8|a89_local_alignment_provisional
S068	VMR_FJ445156|A80|a89_local_alignment_provisional
S069	VMR_FJ445157|A81|a89_local_alignment_provisional
S070	VMR_DQ473509|A82|a89_local_alignment_provisional
S071	VMR_FJ445163|A85|a89_local_alignment_provisional
S072	VMR_DQ473504|A88|a89_local_alignment_provisional
S073	A89_REF|A89|repository_authoritative
S074	VMR_FJ445177|A9|a89_local_alignment_provisional
S075	VMR_FJ445167|A90|a89_local_alignment_provisional
S076	VMR_EF173419|A94|a89_local_alignment_provisional
S077	VMR_FJ445171|A96|a89_local_alignment_provisional
