construct_id	junction	tag_form	site_region	wt_reference_rmsd_mean_A	delta_local_rmsf_vs_wt_A	wt_defined_contact_retention	tag_total_sasa_mean_A2	tag_nonlocal_contact_fraction	network_status	corrected_md_review_status	md_caution_flags
A89_2C_289_290_MAP8	289|290	MAP8	C-terminal 287-291 cluster	2.0073224158533747	0.26993169696771513	0.8956132038221591	794.6774538966948	0.16749585406301826	exploratory_replicated	md_neutral_or_supportive	none
A89_2C_289_290_G196_minimal	289|290	G196_minimal	C-terminal 287-291 cluster	1.9856183796068436	0.5179371793547766	0.9009594882729212	683.6938742768903	0.09286898839137646	exploratory_replicated	md_neutral_or_supportive	none
A89_2C_288_289_HA	288|289	HA	C-terminal 287-291 cluster	1.9814367019091368	0.984311506763476	0.896627971254837	989.6595987348414	0.06301824212271974	exploratory_unstable	md_neutral_or_supportive	none
A89_2C_288_289_MAP8	288|289	MAP8	C-terminal 287-291 cluster	1.8957963150923722	0.47421247928385823	0.8985074626865673	827.8789615156638	0.05306799336650083	exploratory_replicated	md_neutral_or_supportive	none
A89_2C_290_291_MAP8	290|291	MAP8	C-terminal 287-291 cluster	1.6915387708926561	0.3574531797242895	0.909693595514491	716.480603978804	0.34991708126036486	exploratory_replicated	md_neutral_or_supportive	none
A89_2C_224_225_HA	224|225	HA	224 neighborhood / non-C-terminal core	2.069560009248658	-0.4515995006382389	0.8976506357103373	837.6237321287443	1.0	exploratory_replicated	md_caution	high_nonlocal_tag_contact
A89_2C_224_225_MAP8	224|225	MAP8	224 neighborhood / non-C-terminal core	1.8885710379146656	-0.6741394386873664	0.9087577983100371	668.0435568333463	1.0	exploratory_replicated	md_caution	high_nonlocal_tag_contact
A89_2C_248_249_MAP8	248|249	MAP8	248-249 historical insertion region	1.8289503957601176	0.1964548206146026	0.915592671562821	797.2960169651418	0.7446102819237148	exploratory_replicated	md_neutral_or_supportive	none
A89_2C_248_249_HA	248|249	HA	248-249 historical insertion region	1.4636216268190576	0.14731563653202276	0.9130932638395325	1008.6942887693693	0.5854063018242123	exploratory_replicated	md_neutral_or_supportive	none
A89_2C_203_204_G196_minimal	203|204	G196_minimal	203-204 mechanistic/conflict region	2.457432231094048	0.973861746870519	0.9022506515043829	559.4467597316153	0.9966832504145936	exploratory_replicated	md_caution	high_nonlocal_tag_contact
A89_2C_256_257_MAP8	256|257	MAP8	256-257 oligomer-conflict control	1.7340189742406302	0.2742760828576665	0.9054292031903972	659.7615958699342	0.06965174129353234	exploratory_replicated	md_neutral_or_supportive	none
A89_2C_155_156_MAP8	155|156	MAP8	155-156 hard-negative RNA/pore context	2.028323383480055	0.5087096113187378	0.9099699913132749	721.2565069752151	0.966832504145937	exploratory_replicated	md_caution	high_nonlocal_tag_contact
