sequence_id	type_label	source_database	source_accession	organism	sequence_length	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	inferred_start	inferred_end	retain_reason	provenance_note
VMR_FJ445111|A1|a89_local_alignment_provisional	A1	ICTV_VMR+NCBI_GenBank	FJ445111	rhinovirus A1	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7445	1095	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473498|A10|a89_local_alignment_provisional	A10	ICTV_VMR+NCBI_GenBank	DQ473498	rhinovirus A10	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7227	1098	1419	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445175|A100|a89_local_alignment_provisional	A100	ICTV_VMR+NCBI_GenBank	FJ445175	rhinovirus A100	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7134	1098	1419	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_GQ415051|A101|a89_local_alignment_provisional	A101	ICTV_VMR+NCBI_GenBank	GQ415051	rhinovirus A101	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6792	1096	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_EF155421|A102|a89_local_alignment_provisional	A102	ICTV_VMR+NCBI_GenBank	EF155421	rhinovirus A102	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6572	1104	1424	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_JF965515|A103|a89_local_alignment_provisional	A103	ICTV_VMR+NCBI_GenBank	JF965515	rhinovirus A103	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6489	1107	1427	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_JN562727|A104|a89_local_alignment_provisional	A104	ICTV_VMR+NCBI_GenBank	JN562727	rhinovirus A104	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7500	1092	1413	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_JN614995|A105|a89_local_alignment_provisional	A105	ICTV_VMR+NCBI_GenBank	JN614995	rhinovirus A105	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7414	1094	1415	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_EF173414|A11|a89_local_alignment_provisional	A11	ICTV_VMR+NCBI_GenBank	EF173414	rhinovirus A11	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7344	1091	1412	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_EF173415|A12|a89_local_alignment_provisional	A12	ICTV_VMR+NCBI_GenBank	EF173415	rhinovirus A12	320	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6541	1096	1415	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445116|A13|a89_local_alignment_provisional	A13	ICTV_VMR+NCBI_GenBank	FJ445116	rhinovirus A13	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7414	1098	1419	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473493|A15|a89_local_alignment_provisional	A15	ICTV_VMR+NCBI_GenBank	DQ473493	rhinovirus A15	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7321	1097	1418	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_L24917|A16|a89_local_alignment_provisional	A16	ICTV_VMR+NCBI_GenBank	L24917	rhinovirus A16	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7539	1091	1412	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445118|A18|a89_local_alignment_provisional	A18	ICTV_VMR+NCBI_GenBank	FJ445118	rhinovirus A18	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7196	1091	1412	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445119|A19|a89_local_alignment_provisional	A19	ICTV_VMR+NCBI_GenBank	FJ445119	rhinovirus A19	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7383	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
