construct_id	junction	tag_form	completed_method_count	deferred_primary_method_count	supporting_dimensions	disfavoring_dimensions	robustness_class	integrated_perturbation_class	unresolved_conflicts
A89_2C_155_156_MAP8	155|156	MAP8	4	3	tag_specific_plm	contact_network;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	NEGATIVE_CONTROL	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_155_156_HA	155|156	HA	4	3	none	contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	NEGATIVE_CONTROL	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_155_156_G196_minimal	155|156	G196_minimal	4	3	tag_specific_plm	contact_network;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	NEGATIVE_CONTROL	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_155_156_G196_practical_GS	155|156	G196_practical_GS	4	3	none	contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	NEGATIVE_CONTROL	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_216_217_MAP8	216|217	MAP8	4	3	none	direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	NEGATIVE_CONTROL	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_216_217_HA	216|217	HA	4	3	none	direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	NEGATIVE_CONTROL	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_216_217_G196_minimal	216|217	G196_minimal	4	3	none	direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	NEGATIVE_CONTROL	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_216_217_G196_practical_GS	216|217	G196_practical_GS	4	3	none	direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	NEGATIVE_CONTROL	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_3_4_MAP8	3|4	MAP8	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_3_4_HA	3|4	HA	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_3_4_G196_minimal	3|4	G196_minimal	4	3	oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_3_4_G196_practical_GS	3|4	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_245_246_MAP8	245|246	MAP8	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
