construct_id	system	20ns_status	instability_reason	additional_replica_needed	extension_to_50ns_needed	decision_basis
A89_2C_289_290_MAP8	A89_2C_289_290_MAP8_112_321	md_neutral_or_supportive	none	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_289_290_G196_minimal	A89_2C_289_290_G196_minimal_112_321	md_neutral_or_supportive	none	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_288_289_HA	A89_2C_288_289_HA_112_321	md_neutral_or_supportive	none	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_288_289_MAP8	A89_2C_288_289_MAP8_112_321	md_neutral_or_supportive	none	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_290_291_MAP8	A89_2C_290_291_MAP8_112_321	md_neutral_or_supportive	none	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_224_225_HA	A89_2C_224_225_HA_112_321	md_caution	high_nonlocal_tag_contact	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_224_225_MAP8	A89_2C_224_225_MAP8_112_321	md_caution	high_nonlocal_tag_contact	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_248_249_MAP8	A89_2C_248_249_MAP8_112_321	md_neutral_or_supportive	none	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_248_249_HA	A89_2C_248_249_HA_112_321	md_neutral_or_supportive	none	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_203_204_G196_minimal	A89_2C_203_204_G196_minimal_112_321	md_caution	high_nonlocal_tag_contact	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_256_257_MAP8	A89_2C_256_257_MAP8_112_321	md_neutral_or_supportive	none	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
A89_2C_155_156_MAP8	A89_2C_155_156_MAP8_112_321	md_caution	high_nonlocal_tag_contact	no	no_blanket_extension;consider_only_if_corrected_validation_disagrees_or_slow_drift_persists	corrected_legacy_20ns_replica_block_review
