construct_id	junction	tag_form	metric	burnin_ns	truncation_ns	mean_across_replicas	sd_across_replicas	replica_count
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	0	10	1.8424414557837636	0.1789149969478633	3
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	0	15	1.8682907938933264	0.22199228834404577	3
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	0	20	1.9546133735167406	0.20150568966656454	3
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	2	10	1.9314439089232207	0.2238365592410479	3
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	2	15	1.9272693089046797	0.25765338489860923	3
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	2	20	2.006837887654617	0.22475751576596115	3
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	5	10	2.02213001511526	0.2512282473808354	3
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	5	15	1.9718213229169355	0.28383754150288854	3
A89_2C_155_156_MAP8	155|156	MAP8	self_drift_rmsd_mean_A	5	20	2.052445906050219	0.23499101047791876	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	0	10	3.003300330033003	1.5103580977718112	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	0	15	2.929359823399558	1.3982818112746973	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	0	20	3.0514096185737976	1.3869477289019239	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	2	10	3.0370370370370368	1.728527331799509	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	2	15	2.938931297709923	1.515166224260376	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	2	20	3.071823204419889	1.470288134827299	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	5	10	3.071895424836601	1.59612339549004	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	5	15	2.927392739273927	1.3737898787126017	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_nonlocal_contact_count	5	20	3.0905077262693155	1.3665564652311084	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_total_sasa_A2	0	10	722.0124100788985	47.005808303054856	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_total_sasa_A2	0	15	730.381869621361	42.62024424000686	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_total_sasa_A2	0	20	721.2565069752151	52.498789575021306	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_total_sasa_A2	2	10	721.0732585137763	52.22397323100001	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_total_sasa_A2	2	15	731.0789529349058	45.433075524855134	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_total_sasa_A2	2	20	720.7526984732893	55.37829897292495	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_total_sasa_A2	5	10	717.7309697967729	54.931328948643774	3
A89_2C_155_156_MAP8	155|156	MAP8	tag_total_sasa_A2	5	15	732.363251034576	44.496115970306285	3
