construct_id	junction	tag_form	tag_length	model_file	json_file	rank	model	seed	mean_ca_plddt_from_pdb	ptm	ranking_confidence	prediction_status
A89_2C_224_225_AGIA	224|225	AGIA	9	results/broad_dynamics_009/exploratory_colabfold/A89_2C_224_225_AGIA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_041.pdb		001	1	041	40.1460909090909			completed
A89_2C_224_225_AGIA	224|225	AGIA	9	results/broad_dynamics_009/exploratory_colabfold/A89_2C_224_225_AGIA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_042.pdb		002	1	042	36.643878787878805			completed
A89_2C_224_225_PA14	224|225	PA14	14	results/broad_dynamics_009/exploratory_colabfold/A89_2C_224_225_PA14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_041.pdb		001	1	041	39.39346268656719			completed
A89_2C_224_225_PA14	224|225	PA14	14	results/broad_dynamics_009/exploratory_colabfold/A89_2C_224_225_PA14_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_042.pdb		002	1	042	36.27313432835822			completed
A89_2C_248_249_AGIA	248|249	AGIA	9	results/broad_dynamics_009/exploratory_colabfold/A89_2C_248_249_AGIA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_041.pdb		001	1	041	39.383787878787864			completed
A89_2C_248_249_AGIA	248|249	AGIA	9	results/broad_dynamics_009/exploratory_colabfold/A89_2C_248_249_AGIA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_042.pdb		002	1	042	30.208666666666684			completed
A89_2C_248_249_PA14	248|249	PA14	14	results/broad_dynamics_009/exploratory_colabfold/A89_2C_248_249_PA14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_041.pdb		001	1	041	39.615223880596986			completed
A89_2C_248_249_PA14	248|249	PA14	14	results/broad_dynamics_009/exploratory_colabfold/A89_2C_248_249_PA14_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_042.pdb		002	1	042	36.345313432835816			completed
A89_2C_288_289_AGIA	288|289	AGIA	9	results/broad_dynamics_009/exploratory_colabfold/A89_2C_288_289_AGIA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_041.pdb		001	1	041	38.61954545454546			completed
A89_2C_288_289_AGIA	288|289	AGIA	9	results/broad_dynamics_009/exploratory_colabfold/A89_2C_288_289_AGIA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_042.pdb		002	1	042	35.1573333333333			completed
A89_2C_288_289_PA14	288|289	PA14	14	results/broad_dynamics_009/exploratory_colabfold/A89_2C_288_289_PA14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_041.pdb		001	1	041	40.11892537313433			completed
A89_2C_288_289_PA14	288|289	PA14	14	results/broad_dynamics_009/exploratory_colabfold/A89_2C_288_289_PA14_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_042.pdb		002	1	042	35.04026865671642			completed
A89_2C_289_290_AGIA	289|290	AGIA	9	results/broad_dynamics_009/exploratory_colabfold/A89_2C_289_290_AGIA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_041.pdb		001	1	041	40.56442424242425			completed
A89_2C_289_290_AGIA	289|290	AGIA	9	results/broad_dynamics_009/exploratory_colabfold/A89_2C_289_290_AGIA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_042.pdb		002	1	042	35.2958787878788			completed
A89_2C_289_290_PA14	289|290	PA14	14	results/broad_dynamics_009/exploratory_colabfold/A89_2C_289_290_PA14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_041.pdb		001	1	041	39.282656716417925			completed
A89_2C_289_290_PA14	289|290	PA14	14	results/broad_dynamics_009/exploratory_colabfold/A89_2C_289_290_PA14_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_042.pdb		002	1	042	34.379641791044776			completed
