List of packages in environment: "/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.tools/envs/hrv2c-one-shot"

  Name              Version      Build                 Channel    
────────────────────────────────────────────────────────────────────
  _openmp_mutex     4.5          20_gnu                conda-forge
  biopython         1.88         py311h49ec1c0_0       conda-forge
  bzip2             1.0.8        hda65f42_10           conda-forge
  ca-certificates   2026.7.22    hbd8a1cb_0            conda-forge
  fasttree          2.2.0        h7b50bb2_1            bioconda   
  gawk              5.4.1        h0a3468a_0            conda-forge
  gmp               6.3.0        hfd2156b_3            conda-forge
  icu               78.3         py310h44b86e0_2       conda-forge
  iqtree            3.1.3        h8471819_0            bioconda   
  joblib            1.5.3        pyhd8ed1ab_0          conda-forge
  ld_impl_linux-64  2.46.1       default_hbd61a6d_102  conda-forge
  libasprintf       0.25.1       h3f43e3d_1            conda-forge
  libblas           3.11.0       9_h4a7cf45_openblas   conda-forge
  libcblas          3.11.0       9_h0358290_openblas   conda-forge
  libexpat          2.8.1        hecca717_1            conda-forge
  libffi            3.7.0        h3435931_0            conda-forge
  libgcc            16.1.0       ha9f2e26_2            conda-forge
  libgcc-ng         16.1.0       h69a702a_2            conda-forge
  libgettextpo      0.25.1       h3f43e3d_1            conda-forge
  libgfortran       16.1.0       h69a702a_2            conda-forge
  libgfortran5      16.1.0       h79bb938_2            conda-forge
  libgomp           16.1.0       he0feb66_2            conda-forge
  libiconv          1.18         h0cb94f2_3            conda-forge
  liblapack         3.11.0       9_h47877c9_openblas   conda-forge
  liblzma           5.8.3        hb03c661_1            conda-forge
  libnsl            2.0.1        hb9d3cd8_1            conda-forge
  libopenblas       0.3.34       pthreads_h94d23a6_0   conda-forge
  libsqlite         3.53.4       h13e7031_1            conda-forge
  libstdcxx         16.1.0       h934c35e_2            conda-forge
  libuuid           2.42.2       h5347b49_0            conda-forge
  libxcrypt         4.4.38       h280c20c_0            conda-forge
  libzlib           1.3.2        h25fd6f3_3            conda-forge
  mafft             7.526        h4bc722e_0            conda-forge
  mpfr              4.2.2        ha2cb11d_1            conda-forge
  narwhals          2.25.0       pyhcf101f3_0          conda-forge
  ncurses           6.6          hdb14827_1            conda-forge
  numpy             2.4.6        py311h2e04523_0       conda-forge
  openssl           3.6.3        h35e630c_1            conda-forge
  packaging         26.3         pyhc364b38_0          conda-forge
  pandas            3.0.5        py311h8032f78_1       conda-forge
  pip               26.2.1       pyh8b19718_0          conda-forge
  python            3.11.15      h8ab3286_2_cpython    conda-forge
  python-dateutil   2.9.0.post0  pyhe01879c_2          conda-forge
  python_abi        3.11         8_cp311               conda-forge
  readline          8.3          hd6e31c0_1            conda-forge
  scikit-learn      1.9.0        np2py311ha15b03d_0    conda-forge
  scipy             1.17.1       py311hbe70eeb_1       conda-forge
  setuptools        84.0.0       pyh332efcf_0          conda-forge
  six               1.17.0       pyhe01879c_1          conda-forge
  threadpoolctl     3.6.0        pyhecae5ae_0          conda-forge
  tk                8.6.13       noxft_h1df4ec4_4      conda-forge
  tzdata            2026c        h151e31d_0            conda-forge
  wheel             0.48.0       pyhd8ed1ab_0          conda-forge
  zstd              1.5.7        hb78ec9c_7            conda-forge
