junction	review_role	functional_tier	mapping_class	strict_structural_pass	pareto_reviewable_subset_count	insertion_raw_log2_enrich2	sub_window_mean	independent_indel_event_lower_bound	plm_status	rationale
3|4	pareto_reviewable_direct_conflicted	HIGH_RISK	exact_aligned	False	5	-5.554076	-1.978048972201754	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
63|64	pareto_reviewable_direct_conflicted	HIGH_RISK	exact_aligned	False	5	-5.554076	-2.1428806559210525	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
155|156	negative_control_hard_exclusion	EXCLUDE	exact_aligned	True	0	-5.967509	-2.5291509611052634	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
203|204	least_deleterious_direct_insertion_outside_strict_control	HIGH_RISK	exact_aligned	False	4	-3.061137	-1.9008196735	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
216|217	negative_control_hard_exclusion	EXCLUDE	exact_aligned	True	0	-5.827659	-2.1102089392807017	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
223|224	near_miss_or_mapping_uncertain_control	CORE_CAUTION	exact_aligned	False	0	-5.978036	-2.6698148891140354	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
224|225	least_deleterious_direct_insertion_outside_strict_control	CORE_CAUTION	exact_aligned	False	0	-3.51897	-2.568916531552632	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
245|246	near_miss_or_mapping_uncertain_control	CORE_CAUTION	exact_aligned	False	5	-5.769187	-2.691980684675438	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
248|249	historical_conflict_control	CORE_CAUTION	exact_aligned	False	3	-5.693258	-1.8326070281666667	2	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
249|250	pareto_reviewable_direct_conflicted	CORE_CAUTION	exact_aligned	False	4	-5.693258	-1.665882875736842	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
250|251	near_miss_or_mapping_uncertain_control	CORE_CAUTION	ambiguous	False	5	-5.711649	-1.6578228648045112	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
251|252	pareto_reviewable_direct_conflicted	CORE_CAUTION	exact_aligned	False	4	-5.665021	-1.6874902482017544	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
256|257	historical_conflict_control	HIGH_RISK	exact_aligned	False	2	-5.527047	-2.106549658236842	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
287|288	old_strict_cluster_conflict_control	HIGH_RISK	exact_aligned	True	0	-5.521553	-2.3371674005000003	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
288|289	old_strict_cluster_conflict_control	HIGH_RISK	exact_aligned	True	3	-5.152603	-2.1245817753596494	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
289|290	old_strict_cluster_conflict_control	HIGH_RISK	exact_aligned	True	5	-3.51897	-2.3025361571315788	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
290|291	old_strict_cluster_conflict_control	HIGH_RISK	exact_aligned	True	5	-5.214399	-2.171113695517544	0	blocked_software_unavailable	Retained for computational review only; not an experimental recommendation.
