sequence_id	accession	source_database	organism	taxonomy_id	type_label	entry_type	polyprotein_length	sequence_length	boundary_start	boundary_end	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	unknown_fraction	completeness	retain	retain_reason	exclude_reason	retrieval_date
A89_REF|A89|repository_authoritative	repository_reference	project_repository	HRV-A89 authoritative project 2C	650130	A89	curated_project_reference		321	1	321	repository_authoritative_2C	authoritative	1.0000	1.0000	0.0000	complete_2C	True	authoritative_A89_anchor		2026-08-21
P07210|A89|uniprot_chain_exact	P07210	UniProtKB	Human rhinovirus A serotype 89 (strain 41467-Gallo)	650130	A89	UniProtKB reviewed (Swiss-Prot)	2164	321	1104	1424	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
P12916|A1B|uniprot_chain_exact	P12916	UniProtKB	Human rhinovirus 1B	2777147	A1B	UniProtKB reviewed (Swiss-Prot)	2157	322	1095	1416	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
P23008|A1A|uniprot_chain_exact	P23008	UniProtKB	Human rhinovirus 1A	12134	A1A	UniProtKB reviewed (Swiss-Prot)	2157	322	1095	1416	uniprot_chain_exact	high	1.0	1.0	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
Q82122|A16|uniprot_chain_exact	Q82122	UniProtKB	Human rhinovirus 16	31708	A16	UniProtKB reviewed (Swiss-Prot)	2153	322	1091	1412	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
P04936|A2|uniprot_chain_exact	P04936	UniProtKB	Human rhinovirus 2	12130	A2	UniProtKB reviewed (Swiss-Prot)	2150	322	1088	1409	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A0G2T687|A39|a89_local_alignment_provisional	A0A0G2T687	UniProtKB	rhinovirus A39	185907	A39	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A1L1YP61|A21|a89_local_alignment_provisional	A0A1L1YP61	UniProtKB	rhinovirus A21	44128	A21	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A1L1YP70|ambiguous|a89_local_alignment_provisional	A0A1L1YP70	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	excluded	False		ambiguous_type_label	2026-08-21
A5GZE1|A73|a89_local_alignment_provisional	A5GZE1	UniProtKB	rhinovirus A73	185928	A73	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF4|A36|a89_local_alignment_provisional	A5GZF4	UniProtKB	rhinovirus A36	147673	A36	UniProtKB unreviewed (TrEMBL)	2161	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.9626	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V435|A9|a89_local_alignment_provisional	B9V435	UniProtKB	rhinovirus A9	185891	A9	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7469	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V438|A13|a89_local_alignment_provisional	B9V438	UniProtKB	rhinovirus A13	185893	A13	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V441|A20|a89_local_alignment_provisional	B9V441	UniProtKB	rhinovirus A20	147675	A20	UniProtKB unreviewed (TrEMBL)	2166	321	1105	1425	a89_local_alignment_provisional	provisional	1.0000	0.6698	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V459|A54|a89_local_alignment_provisional	B9V459	UniProtKB	rhinovirus A54	185914	A54	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V469|A66|a89_local_alignment_provisional	B9V469	UniProtKB	rhinovirus A66	185923	A66	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
