probe	status	exit_code	value
cwd	completed	0	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization
hostname_python	completed	0	admin1
cuda_visible_devices	completed	0	
pwd	completed	0	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization
hostname	completed	0	admin1
df_h	completed	0	Filesystem           Size  Used Avail Use% Mounted on | /dev/mapper/rl-root  452G   67G  386G  15% / | tmpfs                126G     0  126G   0% /sys/fs/cgroup | tmpfs                126G     0  126G   0% /dev | tmpfs                126G  3.7M  126G   1% /run | tmpfs                 26G     0   26G   0% /run/user/0 | tmpfs                 26G  8.0K   26G   1% /run/user/520 | tmpfs                 26G  224K   26G   1% /run/user/514 | tmpfs                 26G     0   26G   0% /run/user/1011 | tmpfs                 26G  2.2M   26G   1% /run/user/547 | tmpfs                 26G  8.0K   26G   1% /run/user/10023 | tmpfs                 26G   12K   26G   1% /run/user/570 | tmpfs                 26G   68K   26G   1% /run/user/1007 | tmpfs                 26G  764K   26G   1% /run/user/10027 | tmpfs                 26G     0   26G   0% /run/user/10032 | tmpfs                 26G   24K   26G   1% /run/user/571 | tmpfs                 26G     0   26G   0% /run/user/569 | tmpfs                 26G   24M   26G   1% /run/user/10021 | tmpfs                 26G  8.0K   26G   1% /run/user/1010 | tmpfs                 26G  4.0K   26G   1% /run/user/1015 | tmpfs                 26G   24K   26G   1% /run/user/10024 | tmpfs                 26G   36K   26G   1% /run/user/10001 | tmpfs                 26G     0   26G   0% /run/user/10035 | tmpfs                 26G     0   26G   0% /run/user/10040 | tmpfs                 26G  4.0K   26G   1% /run/user/573 | /dev/md126p2        1014M  255M  760M  26% /boot | /dev/md126p1         511M  5.8M  506M   2% /boot/efi | p300s_data1          3.0P  2.9P  186T  94% /public | devtmpfs             126G     0  126G   0% /dev/tty | tmpfs                126G     0  126G   0% /tmp/.git | tmpfs                126G     0  126G   0% /tmp/.agents | tmpfs                126G     0  126G   0% /tmp/.codex | tmpfs                126G     0  126G   0% /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.agents | tmpfs                126G     0  126G   0% /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.codex
df_i	completed	0	Filesystem                       Inodes     IUsed               IFree IUse% Mounted on | /dev/mapper/rl-root           236761088    570619           236190469    1% / | tmpfs                          32922327        17            32922310    1% /sys/fs/cgroup | tmpfs                          32922327        15            32922312    1% /dev | tmpfs                          32922327      1716            32920611    1% /run | tmpfs                          32922327        17            32922310    1% /run/user/0 | tmpfs                          32922327        23            32922304    1% /run/user/520 | tmpfs                          32922327      5214            32917113    1% /run/user/514 | tmpfs                          32922327        12            32922315    1% /run/user/1011 | tmpfs                          32922327       110            32922217    1% /run/user/547 | tmpfs                          32922327       335            32921992    1% /run/user/10023 | tmpfs                          32922327        47            32922280    1% /run/user/570 | tmpfs                          32922327        42            32922285    1% /run/user/1007 | tmpfs                          32922327       660            32921667    1% /run/user/10027 | tmpfs                          32922327        12            32922315    1% /run/user/10032 | tmpfs                          32922327       115            32922212    1% /run/user/571 | tmpfs                          32922327        12            32922315    1% /run/user/569 | tmpfs                          32922327       443            32921884    1% /run/user/10021 | tmpfs                          32922327        29            32922298    1% /run/user/1010 | tmpfs                          32922327       240            32922087    1% /run/user/1015 | tmpfs                          32922327        97            32922230    1% /run/user/10024 | tmpfs                          32922327     15693            32906634    1% /run/user/10001 | tmpfs                          32922327        49            32922278    1% /run/user/10035 | tmpfs                          32922327        42            32922285    1% /run/user/10040 | tmpfs                          32922327        11            32922316    1% /run/user/573 | /dev/md126p2                     524288        20              524268    1% /boot | /dev/md126p1                          0         0                   0     - /boot/efi | p300s_data1         9223372036854775807 267714979 9223372036587060828    1% /public | devtmpfs                       32914518       641            32913877    1% /dev/tty | tmpfs                          32922327         1            32922326    1% /tmp/.git | tmpfs                          32922327         1            32922326    1% /tmp/.agents | tmpfs                          32922327         1            32922326    1% /tmp/.codex | tmpfs                          32922327         1            32922326    1% /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.agents | tmpfs                          32922327         1            32922326    1% /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.codex
quota_s	completed	1	
du_project_tools	timeout	timeout	command timed out
du_cache	completed	0	2.8G /public/home/yukang/.cache
