ictv_type_label	vmr_accession	v1_best_sequence_id	v1_expanded_count	selected_full_panel_sequence_id	selected_full_panel_method	exact_subset_sequence_id	mapping_status	note
A1	FJ445111	P23008|A1A|uniprot_chain_exact	1	VMR_FJ445111|A1|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional	P23008|A1|uniprot_chain_exact	represented_v2	A1A V1 records map to ICTV A1
A10	DQ473498	A5GZE7|A10|a89_local_alignment_provisional	1	VMR_DQ473498|A10|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A100	FJ445175	B9V496|A100|a89_local_alignment_provisional	1	VMR_FJ445175|A100|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A101	GQ415051	A0A1W5RRV7|A101|a89_local_alignment_provisional	2	VMR_GQ415051|A101|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A102	EF155421	E1U266|A102|a89_local_alignment_provisional	1	VMR_EF155421|A102|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A103	JF965515	F6N707|A103|a89_local_alignment_provisional	1	VMR_JF965515|A103|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A104	JN562727		0	VMR_JN562727|A104|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A105	JN614995		0	VMR_JN614995|A105|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A106	JQ245971		0				missing_no_passing_2C_extraction	No passing VMR/V1 2C extraction
A107	KC859319		0				missing_no_passing_2C_extraction	No passing VMR/V1 2C extraction
A108	KC859318		0				missing_no_passing_2C_extraction	No passing VMR/V1 2C extraction
A11	EF173414	A7KC06|A11|a89_local_alignment_provisional	1	VMR_EF173414|A11|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A12	EF173415	A7KC07|A12|a89_local_alignment_provisional	1	VMR_EF173415|A12|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A13	FJ445116	B9V437|A13|a89_local_alignment_provisional	2	VMR_FJ445116|A13|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A15	DQ473493	A5GZE2|A15|a89_local_alignment_provisional	1	VMR_DQ473493|A15|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A16	L24917	Q82122|A16|uniprot_chain_exact	2	VMR_L24917|A16|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional	Q82122|A16|uniprot_chain_exact	represented_v2	
A18	FJ445118	B9V439|A18|a89_local_alignment_provisional	1	VMR_FJ445118|A18|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A19	FJ445119	B9V440|A19|a89_local_alignment_provisional	1	VMR_FJ445119|A19|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A1B	D00239	P12916|A1B|uniprot_chain_exact	4	VMR_D00239|A1B|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional	P12916|A1B|uniprot_chain_exact	represented_v2	
A2	X02316	P04936|A2|uniprot_chain_exact	1	VMR_X02316|A2|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional	P04936|A2|uniprot_chain_exact	represented_v2	
A20	FJ445120	B9V441|A20|a89_local_alignment_provisional	1	VMR_FJ445120|A20|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A21	FJ445121	A0A1L1YP39|A21|a89_local_alignment_provisional	6	VMR_FJ445121|A21|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A22	FJ445122	A0A1P8DD92|A22|a89_local_alignment_provisional	2	VMR_FJ445122|A22|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A23	DQ473497	A5GZE6|A23|a89_local_alignment_provisional	1	VMR_DQ473497|A23|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A24	EF173416	A7KC08|A24|a89_local_alignment_provisional	2	VMR_EF173416|A24|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A25	FJ445123	B9V444|A25|a89_local_alignment_provisional	1	VMR_FJ445123|A25|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A28	DQ473508	A5GZF7|A28|a89_local_alignment_provisional	1	VMR_DQ473508|A28|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A29	FJ445125	B9V446|A29|a89_local_alignment_provisional	1	VMR_FJ445125|A29|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A30	DQ473512	A5GZG1|A30|a89_local_alignment_provisional	2	VMR_DQ473512|A30|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A31	FJ445126	B9V447|A31|a89_local_alignment_provisional	1	VMR_FJ445126|A31|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A32	FJ445127	B9V448|A32|a89_local_alignment_provisional	1	VMR_FJ445127|A32|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A33	FJ445128	B9V449|A33|a89_local_alignment_provisional	1	VMR_FJ445128|A33|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A34	DQ473501	A5GZF0|A34|a89_local_alignment_provisional	2	VMR_DQ473501|A34|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A36	DQ473505	A5GZF4|A36|a89_local_alignment_provisional	1	VMR_DQ473505|A36|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A38	DQ473495	A5GZE4|A38|a89_local_alignment_provisional	2	VMR_DQ473495|A38|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A39	AY751783	A0A0G2T687|A39|a89_local_alignment_provisional	2	VMR_AY751783|A39|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A40	FJ445129	B9V450|A40|a89_local_alignment_provisional	1	VMR_FJ445129|A40|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A41	DQ473491	A5GZE0|A41|a89_local_alignment_provisional	1	VMR_DQ473491|A41|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A43	FJ445131	B9V452|A43|a89_local_alignment_provisional	1	VMR_FJ445131|A43|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A45	FJ445132	B9V453|A45|a89_local_alignment_provisional	1	VMR_FJ445132|A45|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A46	DQ473506	A5GZF5|A46|a89_local_alignment_provisional	1	VMR_DQ473506|A46|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A47	FJ445133	B9V454|A47|a89_local_alignment_provisional	1	VMR_FJ445133|A47|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A49	DQ473496	A5GZE5|A49|a89_local_alignment_provisional	2	VMR_DQ473496|A49|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A50	FJ445135	B9V456|A50|a89_local_alignment_provisional	1	VMR_FJ445135|A50|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A51	FJ445136	B9V457|A51|a89_local_alignment_provisional	1	VMR_FJ445136|A51|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A53	DQ473507	A5GZF6|A53|a89_local_alignment_provisional	1	VMR_DQ473507|A53|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A54	FJ445138	B9V459|A54|a89_local_alignment_provisional	2	VMR_FJ445138|A54|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A55	DQ473511	A5GZG0|A55|a89_local_alignment_provisional	1	VMR_DQ473511|A55|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A56	FJ445140	B9V461|A56|a89_local_alignment_provisional	2	VMR_FJ445140|A56|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A57	FJ445141	B9V462|A57|a89_local_alignment_provisional	1	VMR_FJ445141|A57|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A58	FJ445142	B9V463|A58|a89_local_alignment_provisional	1	VMR_FJ445142|A58|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A59	DQ473500	A5GZE9|A59|a89_local_alignment_provisional	1	VMR_DQ473500|A59|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A60	FJ445143	B9V464|A60|a89_local_alignment_provisional	1	VMR_FJ445143|A60|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A61	FJ445144	B9V465|A61|a89_local_alignment_provisional	1	VMR_FJ445144|A61|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A62	FJ445145	B9V466|A62|a89_local_alignment_provisional	1	VMR_FJ445145|A62|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A63	FJ445146	B9V467|A63|a89_local_alignment_provisional	1	VMR_FJ445146|A63|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A64	EF173417	A7KC09|A64|a89_local_alignment_provisional	2	VMR_EF173417|A64|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A65	FJ445147	B9V468|A65|a89_local_alignment_provisional	1	VMR_FJ445147|A65|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A66	FJ445148	B9V469|A66|a89_local_alignment_provisional	2	VMR_FJ445148|A66|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A67	FJ445149	B9V470|A67|a89_local_alignment_provisional	1	VMR_FJ445149|A67|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A68	FJ445150	B9V471|A68|a89_local_alignment_provisional	1	VMR_FJ445150|A68|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A7	DQ473503	A5GZF2|A7|a89_local_alignment_provisional	2	VMR_DQ473503|A7|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A71	FJ445152	B9V473|A71|a89_local_alignment_provisional	1	VMR_FJ445152|A71|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A73	DQ473492	A5GZE1|A73|a89_local_alignment_provisional	1	VMR_DQ473492|A73|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A74	DQ473494	A5GZE3|A74|a89_local_alignment_provisional	1	VMR_DQ473494|A74|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A75	DQ473510	A5GZF9|A75|a89_local_alignment_provisional	1	VMR_DQ473510|A75|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A76	DQ473502	A5GZF1|A76|a89_local_alignment_provisional	2	VMR_DQ473502|A76|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A77	FJ445154	B9V475|A77|a89_local_alignment_provisional	1	VMR_FJ445154|A77|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A78	EF173418	A7KC10|A78|a89_local_alignment_provisional	2	VMR_EF173418|A78|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A8	FJ445113	B9V434|A8|a89_local_alignment_provisional	1	VMR_FJ445113|A8|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A80	FJ445156	B9V477|A80|a89_local_alignment_provisional	1	VMR_FJ445156|A80|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A81	FJ445157	B9V478|A81|a89_local_alignment_provisional	3	VMR_FJ445157|A81|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A82	DQ473509	A5GZF8|A82|a89_local_alignment_provisional	2	VMR_DQ473509|A82|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
A85	FJ445163	B9V484|A85|a89_local_alignment_provisional	1	VMR_FJ445163|A85|a89_local_alignment_provisional	vmr_genbank_polyprotein_a89_local_alignment_provisional		represented_v2	
