construct_id	junction	tag_form	model_count	open_structure_interpretation	unresolved_conflicts	robustness_status	openmm_status	openmm_post_clashes_2A_max
A89_2C_155_156_G196_minimal	155|156	G196_minimal	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_155_156_G196_practical_GS	155|156	G196_practical_GS	1	STRUCTURE_MODEL_MIXED_OR_METHOD_DEPENDENT	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_155_156_HA	155|156	HA	1	STRUCTURE_MODEL_HIGH_PERTURBATION	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_155_156_MAP8	155|156	MAP8	1	STRUCTURE_MODEL_MIXED_OR_METHOD_DEPENDENT	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_203_204_G196_minimal	203|204	G196_minimal	1	STRUCTURE_MODEL_MIXED_OR_METHOD_DEPENDENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_203_204_G196_practical_GS	203|204	G196_practical_GS	1	STRUCTURE_MODEL_HIGH_PERTURBATION	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_203_204_HA	203|204	HA	1	STRUCTURE_MODEL_HIGH_PERTURBATION	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_203_204_MAP8	203|204	MAP8	1	STRUCTURE_MODEL_HIGH_PERTURBATION	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_216_217_G196_minimal	216|217	G196_minimal	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_216_217_G196_practical_GS	216|217	G196_practical_GS	1	STRUCTURE_MODEL_MIXED_OR_METHOD_DEPENDENT	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	2
A89_2C_216_217_HA	216|217	HA	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_216_217_MAP8	216|217	MAP8	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_EXCLUDE;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_224_225_G196_minimal	224|225	G196_minimal	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	1
A89_2C_224_225_G196_practical_GS	224|225	G196_practical_GS	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_224_225_HA	224|225	HA	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_224_225_MAP8	224|225	MAP8	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_248_249_G196_minimal	248|249	G196_minimal	1	STRUCTURE_MODEL_MIXED_OR_METHOD_DEPENDENT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_248_249_G196_practical_GS	248|249	G196_practical_GS	1	STRUCTURE_MODEL_MIXED_OR_METHOD_DEPENDENT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	1
A89_2C_248_249_HA	248|249	HA	1	STRUCTURE_MODEL_MIXED_OR_METHOD_DEPENDENT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_248_249_MAP8	248|249	MAP8	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_256_257_G196_minimal	256|257	G196_minimal	1	STRUCTURE_MODEL_HIGH_PERTURBATION	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_256_257_G196_practical_GS	256|257	G196_practical_GS	1	STRUCTURE_MODEL_HIGH_PERTURBATION	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_256_257_HA	256|257	HA	1	STRUCTURE_MODEL_HIGH_PERTURBATION	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_256_257_MAP8	256|257	MAP8	1	STRUCTURE_MODEL_HIGH_PERTURBATION	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_287_288_G196_minimal	287|288	G196_minimal	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
